responden_id,pandangan_tentang_selingkuh,religiusitas_pribadi,toleransi_selingkuh,nilai_kesetiaan
69,salah_total,rendah,nol,kuat
70,salah_total,rendah,rendah,lemah
71,salah_total,rendah,rendah,kuat
72,salah_total,rendah,nol,kuat
73,salah_total,rendah,nol,kuat
74,salah_total,rendah,tinggi,kuat
75,salah_total,tinggi,nol,kuat
76,salah_total,tinggi,rendah,kuat
77,salah_total,rendah,nol,kuat
78,manusiawi,rendah,nol,kuat
79,salah_total,rendah,rendah,kuat
80,salah_total,tinggi,rendah,kuat
81,salah_total,tinggi,tinggi,kuat
82,manusiawi,rendah,nol,kuat
83,salah_total,tinggi,tinggi,kuat
84,salah_total,rendah,nol,lemah
85,manusiawi,rendah,nol,kuat
86,salah_total,rendah,rendah,kuat
87,manusiawi,rendah,nol,kuat
88,manusiawi,tinggi,tinggi,kuat
89,manusiawi,tinggi,nol,kuat
90,salah_total,tinggi,rendah,lemah
91,salah_total,tinggi,nol,kuat
92,manusiawi,tinggi,nol,kuat
93,salah_total,tinggi,nol,lemah
94,salah_total,tinggi,nol,kuat
95,salah_total,rendah,nol,lemah
96,salah_total,tinggi,nol,kuat
97,salah_total,tinggi,nol,lemah
98,salah_total,tinggi,nol,kuat
99,salah_total,tinggi,rendah,kuat
100,salah_total,rendah,tinggi,lemah
101,manusiawi,tinggi,nol,kuat
102,salah_total,tinggi,nol,kuat
103,salah_total,tinggi,tinggi,kuat
104,manusiawi,rendah,tinggi,kuat
105,manusiawi,tinggi,nol,kuat
106,salah_total,rendah,nol,lemah
107,manusiawi,tinggi,rendah,kuat
108,salah_total,tinggi,rendah,kuat
109,salah_total,tinggi,rendah,lemah
110,manusiawi,tinggi,nol,kuat
111,salah_total,tinggi,nol,kuat
112,manusiawi,tinggi,rendah,kuat
113,salah_total,tinggi,nol,kuat
114,manusiawi,tinggi,nol,kuat
115,salah_total,rendah,rendah,kuat
116,salah_total,tinggi,rendah,lemah
117,manusiawi,rendah,nol,kuat
118,manusiawi,tinggi,nol,kuat
119,manusiawi,tinggi,nol,kuat
120,salah_total,rendah,rendah,kuat
121,salah_total,tinggi,rendah,kuat
122,manusiawi,rendah,rendah,kuat
123,salah_total,rendah,nol,kuat
124,salah_total,tinggi,nol,kuat
125,salah_total,rendah,nol,lemah
126,manusiawi,rendah,rendah,kuat
127,salah_total,tinggi,nol,lemah
128,manusiawi,rendah,rendah,kuat
129,salah_total,tinggi,nol,kuat
130,salah_total,rendah,nol,kuat
131,manusiawi,tinggi,nol,kuat
132,salah_total,tinggi,rendah,kuat
133,salah_total,tinggi,rendah,lemah
134,salah_total,rendah,nol,kuat
135,salah_total,rendah,nol,kuat
136,manusiawi,tinggi,nol,kuat
137,salah_total,tinggi,rendah,kuat
138,salah_total,rendah,tinggi,lemah
139,salah_total,tinggi,rendah,kuat
140,manusiawi,rendah,tinggi,kuat
141,manusiawi,tinggi,tinggi,kuat
142,manusiawi,rendah,nol,lemah
143,salah_total,rendah,rendah,kuat
144,salah_total,rendah,nol,kuat
145,salah_total,rendah,tinggi,lemah
146,salah_total,tinggi,rendah,lemah
147,salah_total,tinggi,rendah,lemah
148,manusiawi,tinggi,nol,lemah
149,manusiawi,tinggi,rendah,kuat
150,salah_total,rendah,rendah,kuat
151,salah_total,tinggi,nol,kuat
152,salah_total,tinggi,nol,lemah
153,salah_total,rendah,rendah,lemah
154,manusiawi,rendah,nol,kuat
155,manusiawi,tinggi,nol,kuat
156,salah_total,tinggi,rendah,kuat
157,manusiawi,tinggi,nol,lemah
158,manusiawi,tinggi,nol,kuat
159,salah_total,tinggi,tinggi,kuat
160,salah_total,tinggi,nol,kuat
161,manusiawi,tinggi,nol,kuat
162,manusiawi,rendah,nol,lemah
163,manusiawi,tinggi,nol,kuat
164,salah_total,tinggi,nol,lemah
165,salah_total,tinggi,nol,kuat
166,salah_total,tinggi,nol,kuat
167,salah_total,rendah,rendah,lemah
168,manusiawi,rendah,rendah,lemah
169,salah_total,rendah,nol,lemah
170,manusiawi,tinggi,rendah,kuat
171,salah_total,tinggi,tinggi,lemah
172,salah_total,tinggi,rendah,lemah
173,salah_total,tinggi,nol,kuat
174,salah_total,tinggi,nol,kuat
175,salah_total,tinggi,rendah,kuat
176,salah_total,tinggi,nol,lemah
177,salah_total,tinggi,nol,kuat
178,manusiawi,tinggi,tinggi,kuat
179,salah_total,rendah,rendah,kuat
180,salah_total,tinggi,nol,kuat
181,salah_total,tinggi,nol,lemah
182,manusiawi,tinggi,nol,lemah
183,manusiawi,rendah,nol,lemah
184,manusiawi,rendah,nol,lemah
185,manusiawi,rendah,rendah,kuat
186,salah_total,tinggi,tinggi,lemah
187,salah_total,tinggi,rendah,kuat
188,manusiawi,rendah,nol,lemah
189,manusiawi,rendah,nol,kuat
190,manusiawi,tinggi,nol,kuat
191,salah_total,rendah,nol,kuat
192,salah_total,tinggi,rendah,lemah
193,salah_total,tinggi,nol,kuat
194,salah_total,tinggi,nol,kuat
195,salah_total,tinggi,rendah,kuat
196,manusiawi,rendah,nol,kuat
197,salah_total,rendah,rendah,lemah
198,salah_total,tinggi,tinggi,kuat
199,manusiawi,rendah,rendah,kuat
200,salah_total,tinggi,rendah,kuat
201,salah_total,tinggi,nol,kuat
202,manusiawi,tinggi,nol,kuat
203,manusiawi,rendah,nol,kuat
204,salah_total,tinggi,rendah,kuat
205,manusiawi,rendah,nol,lemah
206,salah_total,tinggi,nol,kuat
207,manusiawi,tinggi,nol,kuat
208,salah_total,rendah,rendah,kuat
209,salah_total,tinggi,rendah,kuat
210,salah_total,rendah,nol,kuat
211,manusiawi,tinggi,rendah,kuat
212,manusiawi,tinggi,tinggi,lemah
213,manusiawi,tinggi,nol,kuat
214,salah_total,rendah,nol,kuat
215,manusiawi,tinggi,tinggi,kuat
216,salah_total,rendah,nol,lemah
217,salah_total,tinggi,rendah,kuat
218,salah_total,rendah,nol,lemah
219,salah_total,tinggi,nol,lemah
220,salah_total,tinggi,nol,kuat
221,manusiawi,rendah,tinggi,lemah
222,salah_total,rendah,nol,lemah
223,salah_total,rendah,tinggi,kuat
224,salah_total,tinggi,nol,kuat
225,salah_total,rendah,nol,lemah
226,salah_total,tinggi,nol,kuat
227,salah_total,rendah,nol,kuat
228,salah_total,tinggi,nol,lemah
229,manusiawi,tinggi,tinggi,lemah
230,manusiawi,rendah,tinggi,kuat
231,salah_total,tinggi,nol,kuat
232,salah_total,tinggi,rendah,lemah
233,salah_total,tinggi,nol,lemah
234,salah_total,tinggi,tinggi,lemah
235,salah_total,tinggi,nol,kuat
236,salah_total,tinggi,nol,kuat
237,manusiawi,rendah,nol,kuat
238,salah_total,tinggi,rendah,kuat
239,salah_total,rendah,nol,lemah
240,salah_total,rendah,rendah,kuat
241,salah_total,tinggi,tinggi,kuat
242,salah_total,tinggi,nol,kuat
243,manusiawi,tinggi,nol,kuat
244,salah_total,tinggi,nol,kuat
245,salah_total,rendah,nol,kuat
246,salah_total,tinggi,nol,kuat
247,salah_total,tinggi,nol,kuat
248,salah_total,rendah,tinggi,kuat
249,salah_total,tinggi,nol,kuat
250,salah_total,rendah,nol,kuat
251,salah_total,tinggi,nol,lemah
252,manusiawi,tinggi,nol,kuat
253,salah_total,tinggi,nol,kuat
254,manusiawi,rendah,tinggi,kuat
255,manusiawi,rendah,nol,lemah
256,manusiawi,rendah,tinggi,kuat
257,salah_total,tinggi,nol,kuat
258,manusiawi,rendah,nol,lemah
259,salah_total,rendah,nol,lemah
260,salah_total,tinggi,nol,lemah
261,manusiawi,rendah,nol,lemah
262,salah_total,tinggi,rendah,kuat
263,salah_total,tinggi,rendah,kuat
264,salah_total,rendah,rendah,kuat
265,salah_total,tinggi,tinggi,lemah
266,manusiawi,rendah,nol,kuat
267,salah_total,tinggi,nol,lemah
268,manusiawi,rendah,nol,kuat
269,manusiawi,rendah,nol,kuat
270,manusiawi,tinggi,nol,kuat
271,manusiawi,rendah,nol,lemah
272,salah_total,tinggi,rendah,kuat
273,salah_total,rendah,nol,lemah
274,salah_total,rendah,nol,kuat
275,manusiawi,rendah,rendah,kuat
276,salah_total,rendah,rendah,kuat
277,manusiawi,rendah,tinggi,lemah
278,salah_total,tinggi,nol,kuat
279,salah_total,tinggi,rendah,kuat
280,salah_total,rendah,rendah,lemah
281,salah_total,rendah,nol,kuat
282,manusiawi,tinggi,rendah,kuat
283,manusiawi,rendah,nol,kuat
284,salah_total,rendah,rendah,kuat
285,salah_total,tinggi,rendah,kuat
286,salah_total,tinggi,rendah,kuat
287,salah_total,rendah,nol,lemah
288,salah_total,tinggi,tinggi,lemah
289,manusiawi,tinggi,tinggi,kuat
290,salah_total,tinggi,tinggi,kuat
291,salah_total,tinggi,nol,kuat
292,manusiawi,tinggi,nol,kuat
293,manusiawi,rendah,nol,kuat
294,salah_total,rendah,nol,lemah
295,salah_total,rendah,nol,kuat
296,manusiawi,tinggi,rendah,kuat
297,manusiawi,tinggi,nol,lemah
298,manusiawi,tinggi,rendah,lemah
299,salah_total,tinggi,rendah,kuat
300,salah_total,tinggi,tinggi,kuat
301,salah_total,tinggi,tinggi,kuat
302,salah_total,tinggi,rendah,lemah
303,salah_total,rendah,rendah,lemah
304,salah_total,tinggi,nol,kuat
305,manusiawi,tinggi,nol,kuat
306,salah_total,rendah,nol,kuat
307,manusiawi,rendah,rendah,kuat
308,manusiawi,tinggi,rendah,kuat
309,salah_total,rendah,nol,lemah
310,salah_total,rendah,tinggi,kuat
311,salah_total,tinggi,rendah,lemah
312,manusiawi,tinggi,nol,kuat
313,manusiawi,tinggi,nol,lemah
314,salah_total,tinggi,tinggi,lemah
315,manusiawi,tinggi,nol,kuat
316,salah_total,tinggi,nol,kuat
317,salah_total,tinggi,nol,kuat
318,salah_total,tinggi,nol,lemah
319,manusiawi,rendah,rendah,kuat
320,salah_total,rendah,nol,kuat
321,salah_total,tinggi,rendah,kuat
322,salah_total,rendah,tinggi,kuat
323,salah_total,tinggi,rendah,kuat
324,manusiawi,rendah,tinggi,lemah
325,salah_total,rendah,nol,kuat
326,salah_total,tinggi,nol,kuat
327,manusiawi,tinggi,nol,lemah
328,manusiawi,tinggi,rendah,kuat
329,salah_total,tinggi,tinggi,lemah
330,salah_total,tinggi,nol,lemah
331,salah_total,rendah,nol,lemah
332,manusiawi,tinggi,nol,lemah
333,manusiawi,tinggi,nol,kuat
334,salah_total,rendah,nol,lemah
335,manusiawi,rendah,rendah,lemah
336,salah_total,tinggi,nol,kuat
337,manusiawi,rendah,nol,kuat
338,salah_total,tinggi,nol,kuat
339,salah_total,tinggi,nol,kuat
340,manusiawi,rendah,rendah,lemah
341,salah_total,tinggi,nol,lemah
342,manusiawi,tinggi,nol,kuat
343,manusiawi,tinggi,rendah,lemah
344,manusiawi,rendah,nol,kuat
345,manusiawi,rendah,tinggi,lemah
346,salah_total,rendah,rendah,kuat
347,manusiawi,tinggi,nol,lemah
348,salah_total,rendah,nol,lemah
349,salah_total,tinggi,tinggi,lemah
350,salah_total,tinggi,nol,lemah
351,manusiawi,tinggi,nol,kuat
352,salah_total,rendah,rendah,kuat
353,manusiawi,rendah,nol,lemah
354,salah_total,tinggi,nol,kuat
355,salah_total,rendah,rendah,lemah
356,manusiawi,tinggi,rendah,kuat
357,salah_total,rendah,tinggi,kuat
358,manusiawi,tinggi,nol,kuat
359,salah_total,tinggi,rendah,kuat
360,manusiawi,rendah,nol,kuat
361,manusiawi,tinggi,nol,lemah
362,salah_total,tinggi,nol,kuat
363,salah_total,rendah,nol,kuat
364,salah_total,rendah,rendah,lemah
365,salah_total,tinggi,nol,kuat
366,manusiawi,tinggi,nol,kuat
367,salah_total,rendah,nol,lemah
368,manusiawi,rendah,nol,lemah
369,salah_total,rendah,rendah,kuat
370,salah_total,rendah,rendah,kuat
371,salah_total,rendah,rendah,lemah
372,salah_total,tinggi,rendah,kuat
373,salah_total,tinggi,nol,lemah
374,salah_total,tinggi,tinggi,lemah
375,manusiawi,tinggi,nol,lemah
376,manusiawi,rendah,rendah,lemah
377,salah_total,tinggi,tinggi,kuat
378,salah_total,tinggi,nol,kuat
379,manusiawi,tinggi,nol,kuat
380,manusiawi,tinggi,rendah,kuat
381,salah_total,rendah,rendah,kuat
382,manusiawi,tinggi,nol,kuat
383,salah_total,rendah,rendah,kuat
384,salah_total,tinggi,nol,kuat
385,salah_total,tinggi,tinggi,kuat
386,manusiawi,tinggi,nol,kuat
387,salah_total,tinggi,rendah,kuat
388,salah_total,rendah,nol,lemah
389,manusiawi,tinggi,nol,lemah
390,manusiawi,tinggi,nol,lemah
391,salah_total,rendah,nol,lemah
392,manusiawi,tinggi,rendah,kuat
393,manusiawi,tinggi,rendah,lemah
394,salah_total,rendah,nol,lemah
395,salah_total,rendah,nol,kuat
396,salah_total,tinggi,tinggi,lemah
397,manusiawi,rendah,tinggi,kuat
398,manusiawi,rendah,nol,kuat
399,salah_total,tinggi,rendah,kuat
400,salah_total,tinggi,nol,lemah
401,manusiawi,tinggi,nol,kuat
402,salah_total,rendah,nol,kuat
403,salah_total,tinggi,rendah,kuat
404,salah_total,rendah,rendah,lemah
405,manusiawi,tinggi,tinggi,kuat
406,salah_total,rendah,nol,lemah
407,salah_total,tinggi,nol,kuat
408,salah_total,tinggi,nol,kuat
409,manusiawi,rendah,rendah,kuat
410,salah_total,rendah,nol,kuat
411,salah_total,tinggi,rendah,lemah
412,salah_total,tinggi,rendah,kuat
413,manusiawi,rendah,rendah,kuat
414,salah_total,tinggi,nol,kuat
415,salah_total,tinggi,nol,kuat
416,salah_total,rendah,nol,lemah
417,manusiawi,tinggi,rendah,kuat
418,manusiawi,rendah,nol,kuat
419,manusiawi,tinggi,nol,lemah
420,salah_total,rendah,tinggi,lemah
421,salah_total,rendah,nol,kuat
422,salah_total,tinggi,nol,kuat
423,salah_total,tinggi,nol,kuat
424,salah_total,tinggi,rendah,kuat
425,salah_total,rendah,nol,lemah
426,salah_total,rendah,nol,kuat
427,manusiawi,tinggi,nol,kuat
428,manusiawi,tinggi,tinggi,lemah
429,manusiawi,tinggi,nol,kuat
430,manusiawi,rendah,rendah,lemah
431,salah_total,tinggi,nol,kuat
432,manusiawi,tinggi,nol,kuat
433,salah_total,rendah,nol,kuat
434,salah_total,tinggi,rendah,kuat
435,salah_total,tinggi,nol,kuat
436,salah_total,rendah,nol,kuat
437,salah_total,tinggi,nol,kuat
438,salah_total,tinggi,nol,kuat
439,manusiawi,tinggi,nol,kuat
440,manusiawi,tinggi,nol,lemah
441,manusiawi,tinggi,nol,kuat
442,manusiawi,rendah,nol,lemah
443,manusiawi,tinggi,nol,lemah
444,salah_total,rendah,rendah,lemah
445,salah_total,rendah,rendah,lemah
446,salah_total,rendah,rendah,kuat
447,salah_total,tinggi,rendah,kuat
448,manusiawi,tinggi,rendah,kuat
449,salah_total,tinggi,nol,kuat
450,salah_total,tinggi,nol,kuat
451,salah_total,tinggi,nol,kuat
452,salah_total,rendah,rendah,kuat
453,manusiawi,tinggi,nol,lemah
454,salah_total,rendah,rendah,kuat
455,manusiawi,tinggi,rendah,kuat
456,manusiawi,rendah,nol,kuat
457,salah_total,tinggi,nol,kuat
458,manusiawi,tinggi,nol,lemah
459,manusiawi,tinggi,nol,kuat
460,salah_total,rendah,rendah,kuat
461,manusiawi,tinggi,nol,lemah
462,salah_total,tinggi,tinggi,kuat
463,manusiawi,rendah,tinggi,lemah
464,salah_total,rendah,nol,kuat
465,manusiawi,rendah,rendah,kuat
466,salah_total,tinggi,nol,kuat
467,manusiawi,rendah,rendah,lemah
468,salah_total,rendah,rendah,lemah
469,salah_total,rendah,rendah,lemah
470,manusiawi,tinggi,nol,kuat
471,manusiawi,rendah,tinggi,lemah
472,manusiawi,tinggi,tinggi,kuat
473,salah_total,rendah,rendah,kuat
474,manusiawi,rendah,nol,kuat
475,manusiawi,tinggi,rendah,lemah
476,salah_total,tinggi,rendah,kuat
477,manusiawi,tinggi,tinggi,lemah
478,salah_total,rendah,nol,lemah
479,manusiawi,rendah,nol,kuat
480,salah_total,tinggi,rendah,kuat
481,salah_total,rendah,nol,lemah
482,manusiawi,tinggi,rendah,kuat
483,salah_total,tinggi,nol,kuat
484,manusiawi,tinggi,rendah,kuat
485,manusiawi,tinggi,rendah,kuat
486,salah_total,rendah,rendah,kuat
487,salah_total,tinggi,rendah,lemah
488,salah_total,tinggi,tinggi,kuat
489,salah_total,tinggi,rendah,kuat
490,salah_total,tinggi,nol,kuat
491,salah_total,tinggi,rendah,kuat
492,salah_total,tinggi,nol,lemah
493,manusiawi,tinggi,nol,kuat
494,salah_total,tinggi,tinggi,kuat
495,salah_total,tinggi,rendah,kuat
496,salah_total,tinggi,nol,lemah
497,salah_total,rendah,rendah,kuat
498,salah_total,tinggi,rendah,lemah
499,manusiawi,tinggi,tinggi,lemah
500,salah_total,tinggi,nol,lemah
501,salah_total,rendah,rendah,kuat
502,salah_total,tinggi,nol,kuat
503,salah_total,tinggi,nol,kuat
504,manusiawi,rendah,nol,kuat
505,salah_total,tinggi,nol,lemah
506,salah_total,tinggi,rendah,kuat
507,salah_total,tinggi,rendah,kuat
508,manusiawi,rendah,nol,lemah
509,salah_total,rendah,nol,kuat
510,salah_total,rendah,nol,kuat
511,salah_total,tinggi,nol,lemah
512,manusiawi,tinggi,nol,kuat
513,salah_total,tinggi,nol,lemah
514,salah_total,rendah,rendah,kuat
515,manusiawi,tinggi,tinggi,kuat
516,salah_total,tinggi,nol,kuat
517,manusiawi,tinggi,nol,kuat
518,salah_total,rendah,rendah,kuat
519,salah_total,tinggi,tinggi,kuat
520,manusiawi,rendah,nol,kuat
521,salah_total,rendah,tinggi,kuat
522,manusiawi,tinggi,nol,lemah
523,manusiawi,tinggi,rendah,lemah
524,salah_total,tinggi,nol,kuat
525,salah_total,tinggi,tinggi,kuat
526,salah_total,tinggi,nol,lemah
527,salah_total,rendah,rendah,kuat
528,salah_total,tinggi,nol,kuat
529,manusiawi,tinggi,nol,lemah
530,salah_total,tinggi,rendah,kuat
531,salah_total,tinggi,tinggi,kuat
532,salah_total,tinggi,tinggi,kuat
533,salah_total,tinggi,rendah,lemah
534,manusiawi,tinggi,rendah,kuat
535,salah_total,tinggi,tinggi,kuat
536,salah_total,tinggi,nol,kuat
537,manusiawi,tinggi,nol,kuat
538,salah_total,tinggi,nol,kuat
539,manusiawi,tinggi,nol,kuat
540,salah_total,tinggi,tinggi,lemah
541,salah_total,tinggi,rendah,lemah
542,salah_total,tinggi,rendah,lemah
543,salah_total,tinggi,rendah,kuat
544,manusiawi,tinggi,tinggi,kuat
545,salah_total,tinggi,rendah,kuat
546,salah_total,rendah,tinggi,kuat
547,salah_total,rendah,nol,lemah
548,salah_total,tinggi,nol,kuat
549,salah_total,rendah,nol,lemah
550,salah_total,tinggi,nol,kuat
551,salah_total,tinggi,nol,kuat
552,salah_total,tinggi,tinggi,kuat
553,manusiawi,tinggi,nol,kuat
554,salah_total,rendah,nol,kuat
555,salah_total,tinggi,nol,kuat
556,salah_total,tinggi,tinggi,kuat
557,manusiawi,rendah,rendah,kuat
558,manusiawi,rendah,nol,kuat
559,manusiawi,rendah,nol,kuat
560,salah_total,tinggi,tinggi,lemah
561,manusiawi,rendah,tinggi,kuat
562,manusiawi,rendah,nol,kuat
563,salah_total,tinggi,rendah,kuat
564,manusiawi,tinggi,tinggi,kuat
565,manusiawi,rendah,rendah,lemah
566,salah_total,rendah,tinggi,lemah
567,salah_total,tinggi,nol,kuat
568,salah_total,rendah,tinggi,kuat
569,salah_total,tinggi,nol,kuat
570,salah_total,rendah,rendah,kuat
571,manusiawi,rendah,nol,kuat
572,salah_total,rendah,rendah,lemah
573,salah_total,rendah,rendah,kuat
574,salah_total,tinggi,nol,kuat
575,salah_total,tinggi,nol,kuat
576,manusiawi,tinggi,nol,lemah
577,salah_total,tinggi,tinggi,lemah
578,salah_total,tinggi,nol,kuat
579,salah_total,rendah,nol,kuat
580,salah_total,tinggi,nol,kuat
581,manusiawi,tinggi,rendah,lemah
582,salah_total,rendah,nol,kuat
583,salah_total,tinggi,nol,lemah
584,salah_total,rendah,nol,kuat
585,salah_total,tinggi,tinggi,lemah
586,salah_total,tinggi,tinggi,kuat
587,salah_total,tinggi,nol,kuat
588,salah_total,rendah,nol,kuat
589,salah_total,tinggi,nol,kuat
590,salah_total,rendah,tinggi,lemah
591,salah_total,rendah,nol,kuat
592,salah_total,rendah,nol,kuat
593,salah_total,rendah,nol,lemah
594,salah_total,rendah,tinggi,lemah
595,salah_total,tinggi,rendah,kuat
596,manusiawi,tinggi,rendah,kuat
597,salah_total,tinggi,rendah,lemah
598,salah_total,tinggi,rendah,kuat
599,salah_total,rendah,rendah,kuat
600,manusiawi,rendah,nol,kuat
601,salah_total,tinggi,rendah,kuat
602,salah_total,tinggi,rendah,kuat
603,salah_total,tinggi,rendah,lemah
604,manusiawi,tinggi,nol,lemah
605,manusiawi,rendah,nol,lemah
606,manusiawi,tinggi,tinggi,lemah
607,salah_total,tinggi,rendah,lemah
608,salah_total,tinggi,rendah,kuat
609,salah_total,rendah,rendah,lemah
610,salah_total,rendah,nol,kuat
611,manusiawi,tinggi,nol,kuat
612,manusiawi,tinggi,nol,lemah
613,salah_total,tinggi,nol,kuat
614,manusiawi,rendah,rendah,lemah
615,salah_total,tinggi,nol,lemah
616,salah_total,rendah,nol,kuat
617,salah_total,rendah,nol,kuat
618,salah_total,tinggi,nol,kuat
619,manusiawi,tinggi,nol,lemah
620,manusiawi,rendah,nol,kuat
621,salah_total,rendah,nol,kuat
622,manusiawi,tinggi,nol,kuat
623,manusiawi,rendah,nol,lemah
624,salah_total,rendah,nol,kuat
625,salah_total,tinggi,nol,kuat
626,manusiawi,tinggi,nol,kuat
627,manusiawi,tinggi,nol,kuat
628,manusiawi,tinggi,rendah,kuat
629,salah_total,rendah,nol,lemah
630,salah_total,tinggi,tinggi,lemah
631,manusiawi,rendah,nol,kuat
632,salah_total,tinggi,nol,kuat
633,manusiawi,rendah,nol,kuat
634,salah_total,tinggi,nol,lemah
635,salah_total,tinggi,rendah,lemah
636,salah_total,tinggi,nol,kuat
637,salah_total,tinggi,rendah,lemah
638,salah_total,tinggi,rendah,kuat
639,manusiawi,rendah,nol,kuat
640,salah_total,rendah,rendah,kuat
641,salah_total,tinggi,rendah,lemah
642,manusiawi,tinggi,nol,kuat
643,salah_total,tinggi,nol,kuat
644,salah_total,tinggi,nol,kuat
645,salah_total,rendah,nol,kuat
646,salah_total,rendah,nol,kuat
647,salah_total,rendah,rendah,kuat
648,manusiawi,rendah,nol,kuat
649,salah_total,tinggi,nol,lemah
650,manusiawi,rendah,nol,lemah
651,salah_total,tinggi,nol,kuat
652,manusiawi,rendah,nol,lemah
653,salah_total,rendah,nol,lemah
654,manusiawi,rendah,nol,kuat
655,manusiawi,tinggi,nol,kuat
656,manusiawi,rendah,nol,kuat
657,salah_total,tinggi,nol,kuat
658,salah_total,rendah,nol,lemah
659,salah_total,rendah,nol,kuat
660,salah_total,tinggi,nol,kuat
661,manusiawi,rendah,nol,kuat
662,salah_total,tinggi,rendah,kuat
663,salah_total,tinggi,rendah,kuat
664,salah_total,tinggi,nol,kuat
665,manusiawi,tinggi,nol,lemah
666,manusiawi,tinggi,nol,lemah
667,salah_total,tinggi,nol,kuat
668,manusiawi,tinggi,nol,kuat
669,manusiawi,rendah,nol,lemah
670,manusiawi,rendah,nol,kuat
671,salah_total,rendah,tinggi,kuat
672,manusiawi,rendah,tinggi,kuat
673,salah_total,rendah,rendah,kuat
674,manusiawi,tinggi,rendah,kuat
675,salah_total,tinggi,nol,lemah
676,manusiawi,tinggi,rendah,kuat
677,salah_total,rendah,nol,kuat
678,salah_total,rendah,tinggi,kuat
679,manusiawi,tinggi,rendah,lemah
680,salah_total,tinggi,nol,kuat
681,salah_total,tinggi,rendah,lemah
682,salah_total,rendah,nol,kuat
683,salah_total,tinggi,nol,kuat
684,salah_total,tinggi,tinggi,lemah
685,manusiawi,tinggi,nol,lemah
686,manusiawi,rendah,rendah,lemah
687,salah_total,tinggi,nol,kuat
688,salah_total,rendah,nol,lemah
689,salah_total,rendah,rendah,kuat
690,manusiawi,tinggi,tinggi,kuat
691,manusiawi,tinggi,nol,kuat
692,salah_total,rendah,nol,kuat
693,manusiawi,tinggi,nol,kuat
694,salah_total,tinggi,rendah,kuat
695,salah_total,tinggi,nol,lemah
696,salah_total,tinggi,rendah,kuat
697,salah_total,rendah,rendah,kuat
698,salah_total,tinggi,nol,lemah
699,salah_total,rendah,nol,kuat
700,salah_total,tinggi,nol,kuat
701,salah_total,rendah,nol,kuat
702,salah_total,tinggi,tinggi,kuat
703,manusiawi,tinggi,rendah,kuat
704,salah_total,tinggi,nol,lemah
705,salah_total,rendah,rendah,kuat
706,salah_total,rendah,nol,lemah
707,salah_total,rendah,nol,lemah
708,salah_total,rendah,nol,kuat
709,manusiawi,tinggi,tinggi,lemah
710,salah_total,tinggi,tinggi,kuat
711,salah_total,rendah,rendah,kuat
712,salah_total,tinggi,nol,lemah
