responden_id,status_hubungan,lama_hubungan_tahun,punya_anak,rencana_masa_depan_bersama,ketergantungan_emosional
145,pacaran,5.4,iya,jelas,tinggi
146,menikah,5.3,tidak,jelas,rendah
147,pacaran,3.1,iya,tidak_jelas,rendah
148,menikah,5.7,tidak,jelas,rendah
149,menikah,6.5,tidak,tidak_jelas,tinggi
150,menikah,2.8,tidak,tidak_jelas,tinggi
151,menikah,2.3,tidak,tidak_jelas,tinggi
152,menikah,2.9,iya,jelas,rendah
153,pacaran,6.7,iya,jelas,rendah
154,menikah,3.5,iya,jelas,tinggi
155,menikah,1.8,tidak,jelas,tinggi
156,menikah,1.9,tidak,jelas,tinggi
157,pacaran,2.2,tidak,jelas,tinggi
158,pacaran,2.6,iya,tidak_jelas,tinggi
159,menikah,1.2,tidak,tidak_jelas,tinggi
160,pacaran,5.2,iya,jelas,tinggi
161,pacaran,3.6,tidak,tidak_jelas,tinggi
162,pacaran,5.1,tidak,jelas,tinggi
163,pacaran,0.5,tidak,jelas,tinggi
164,pacaran,6.1,tidak,tidak_jelas,rendah
165,pacaran,3.8,tidak,jelas,rendah
166,pacaran,5.0,iya,tidak_jelas,tinggi
167,pacaran,7.0,iya,jelas,rendah
168,pacaran,4.7,tidak,jelas,rendah
169,menikah,8.2,iya,jelas,rendah
170,pacaran,0.5,tidak,tidak_jelas,rendah
171,menikah,3.4,iya,jelas,tinggi
172,pacaran,0.5,tidak,tidak_jelas,tinggi
173,pacaran,4.6,tidak,tidak_jelas,tinggi
174,pacaran,4.2,iya,jelas,rendah
175,menikah,1.8,iya,jelas,rendah
176,pacaran,8.3,tidak,jelas,tinggi
177,pacaran,3.3,iya,tidak_jelas,rendah
178,menikah,0.5,tidak,tidak_jelas,tinggi
179,menikah,5.4,iya,tidak_jelas,tinggi
180,menikah,5.4,iya,tidak_jelas,tinggi
181,pacaran,3.0,tidak,tidak_jelas,rendah
182,menikah,5.6,iya,jelas,tinggi
183,menikah,2.1,tidak,jelas,tinggi
184,menikah,3.2,tidak,jelas,tinggi
185,pacaran,4.8,tidak,jelas,tinggi
186,pacaran,5.8,iya,tidak_jelas,tinggi
187,pacaran,3.6,tidak,jelas,rendah
188,menikah,3.0,tidak,tidak_jelas,rendah
189,pacaran,3.9,iya,jelas,rendah
190,pacaran,0.5,iya,jelas,tinggi
191,pacaran,3.4,tidak,jelas,rendah
192,pacaran,0.5,iya,jelas,tinggi
193,pacaran,2.3,tidak,jelas,tinggi
194,pacaran,1.2,iya,jelas,tinggi
195,menikah,5.1,tidak,jelas,rendah
196,menikah,2.5,iya,jelas,tinggi
197,pacaran,6.5,tidak,jelas,tinggi
198,pacaran,0.5,tidak,tidak_jelas,rendah
199,pacaran,3.5,tidak,jelas,tinggi
200,menikah,4.2,iya,tidak_jelas,tinggi
201,pacaran,5.0,tidak,jelas,rendah
202,menikah,8.3,tidak,tidak_jelas,rendah
203,menikah,0.5,iya,jelas,tinggi
204,menikah,2.5,iya,tidak_jelas,tinggi
205,pacaran,8.0,tidak,tidak_jelas,rendah
206,menikah,2.2,tidak,jelas,tinggi
207,pacaran,4.9,iya,jelas,tinggi
208,pacaran,2.1,tidak,jelas,rendah
209,menikah,1.2,iya,jelas,tinggi
210,pacaran,2.4,iya,jelas,rendah
211,pacaran,8.0,iya,jelas,rendah
212,pacaran,1.7,tidak,jelas,rendah
213,pacaran,3.4,tidak,jelas,rendah
214,menikah,3.5,iya,jelas,tinggi
215,menikah,5.8,tidak,jelas,rendah
216,menikah,6.3,iya,jelas,rendah
217,menikah,4.2,tidak,tidak_jelas,tinggi
218,pacaran,0.5,iya,jelas,tinggi
219,pacaran,2.2,tidak,jelas,rendah
220,pacaran,1.6,tidak,jelas,tinggi
221,pacaran,6.3,iya,jelas,rendah
222,menikah,2.2,iya,jelas,rendah
223,menikah,7.4,iya,tidak_jelas,tinggi
224,pacaran,4.8,tidak,jelas,rendah
225,menikah,6.3,tidak,jelas,tinggi
226,menikah,8.5,iya,jelas,tinggi
227,pacaran,2.1,tidak,jelas,tinggi
228,pacaran,0.8,iya,jelas,rendah
229,menikah,4.4,iya,tidak_jelas,rendah
230,pacaran,5.9,tidak,tidak_jelas,tinggi
231,menikah,2.7,tidak,tidak_jelas,rendah
232,pacaran,4.1,iya,jelas,rendah
233,pacaran,6.4,tidak,tidak_jelas,rendah
234,menikah,6.2,tidak,tidak_jelas,rendah
235,pacaran,2.8,tidak,jelas,rendah
236,menikah,4.5,tidak,jelas,rendah
237,menikah,2.1,iya,jelas,rendah
238,menikah,1.1,tidak,jelas,tinggi
239,menikah,6.7,tidak,jelas,rendah
240,pacaran,0.5,tidak,jelas,rendah
241,pacaran,4.4,iya,tidak_jelas,rendah
242,pacaran,3.3,tidak,jelas,rendah
243,menikah,5.1,tidak,jelas,tinggi
244,pacaran,2.6,tidak,tidak_jelas,rendah
245,menikah,6.3,tidak,jelas,tinggi
246,pacaran,3.6,tidak,jelas,tinggi
247,pacaran,6.9,iya,jelas,tinggi
248,pacaran,4.4,iya,jelas,tinggi
249,menikah,1.9,tidak,jelas,tinggi
250,pacaran,5.1,iya,jelas,tinggi
251,pacaran,4.8,tidak,tidak_jelas,tinggi
252,pacaran,3.8,iya,tidak_jelas,rendah
253,menikah,2.5,tidak,tidak_jelas,tinggi
254,pacaran,5.7,tidak,jelas,tinggi
255,pacaran,2.1,iya,jelas,rendah
256,pacaran,2.3,iya,jelas,tinggi
257,menikah,5.1,tidak,jelas,tinggi
258,pacaran,3.6,tidak,jelas,tinggi
259,menikah,0.5,iya,jelas,tinggi
260,pacaran,2.1,tidak,tidak_jelas,rendah
261,menikah,4.8,tidak,jelas,tinggi
262,menikah,3.5,iya,jelas,rendah
263,pacaran,3.8,tidak,jelas,tinggi
264,pacaran,4.5,tidak,tidak_jelas,rendah
265,menikah,4.9,iya,jelas,rendah
266,pacaran,4.2,tidak,jelas,tinggi
267,pacaran,0.5,tidak,jelas,rendah
268,pacaran,3.9,iya,tidak_jelas,tinggi
269,pacaran,3.0,tidak,tidak_jelas,tinggi
270,menikah,4.1,tidak,jelas,rendah
271,pacaran,6.1,iya,tidak_jelas,tinggi
272,pacaran,1.9,tidak,tidak_jelas,tinggi
273,menikah,4.1,iya,jelas,rendah
274,menikah,5.0,tidak,tidak_jelas,tinggi
275,pacaran,3.4,tidak,jelas,tinggi
276,menikah,1.4,iya,jelas,tinggi
277,pacaran,1.6,iya,tidak_jelas,tinggi
278,menikah,3.9,iya,jelas,rendah
279,pacaran,2.8,tidak,tidak_jelas,tinggi
280,pacaran,0.5,tidak,jelas,rendah
281,menikah,2.4,tidak,tidak_jelas,rendah
282,menikah,1.4,tidak,tidak_jelas,tinggi
283,menikah,5.5,iya,jelas,tinggi
284,menikah,1.0,iya,tidak_jelas,rendah
285,pacaran,6.8,tidak,jelas,tinggi
286,menikah,8.3,tidak,tidak_jelas,rendah
287,pacaran,2.5,tidak,jelas,tinggi
288,pacaran,2.8,tidak,jelas,tinggi
289,pacaran,5.9,iya,jelas,tinggi
290,menikah,6.2,iya,jelas,tinggi
291,pacaran,3.0,iya,jelas,rendah
292,menikah,3.1,iya,jelas,tinggi
293,pacaran,3.1,iya,jelas,tinggi
294,menikah,2.3,iya,jelas,tinggi
295,menikah,5.8,iya,jelas,tinggi
296,pacaran,4.3,tidak,jelas,tinggi
297,menikah,2.5,iya,jelas,tinggi
298,pacaran,4.1,tidak,jelas,rendah
299,menikah,3.2,tidak,jelas,tinggi
300,menikah,9.0,iya,jelas,tinggi
301,menikah,3.5,iya,jelas,rendah
302,pacaran,5.5,iya,jelas,rendah
303,pacaran,4.9,iya,jelas,tinggi
304,pacaran,3.7,tidak,jelas,tinggi
305,menikah,4.9,iya,jelas,rendah
306,menikah,4.4,iya,tidak_jelas,tinggi
307,pacaran,9.0,tidak,tidak_jelas,rendah
308,pacaran,3.8,tidak,jelas,rendah
309,menikah,0.5,tidak,jelas,rendah
310,pacaran,8.4,tidak,tidak_jelas,rendah
311,pacaran,3.0,tidak,tidak_jelas,tinggi
312,pacaran,4.2,iya,tidak_jelas,rendah
313,menikah,2.9,iya,tidak_jelas,tinggi
314,pacaran,2.8,tidak,jelas,tinggi
315,menikah,1.8,iya,tidak_jelas,rendah
316,menikah,0.5,tidak,jelas,rendah
317,pacaran,2.6,iya,tidak_jelas,tinggi
318,menikah,5.0,iya,jelas,tinggi
319,menikah,0.7,iya,tidak_jelas,rendah
320,pacaran,5.0,tidak,tidak_jelas,rendah
321,menikah,8.6,tidak,jelas,rendah
322,pacaran,4.6,iya,jelas,tinggi
323,pacaran,1.2,tidak,jelas,tinggi
324,menikah,4.8,tidak,tidak_jelas,tinggi
325,pacaran,5.9,tidak,jelas,tinggi
326,menikah,6.6,iya,jelas,rendah
327,pacaran,4.4,tidak,tidak_jelas,tinggi
328,menikah,5.2,iya,jelas,tinggi
329,pacaran,5.7,iya,jelas,tinggi
330,pacaran,5.2,iya,jelas,rendah
331,menikah,4.6,tidak,tidak_jelas,rendah
332,pacaran,2.7,iya,jelas,rendah
333,menikah,5.9,tidak,jelas,rendah
334,menikah,2.9,tidak,tidak_jelas,tinggi
335,pacaran,9.2,tidak,jelas,tinggi
336,menikah,2.7,tidak,jelas,tinggi
337,pacaran,5.6,iya,jelas,tinggi
338,menikah,1.4,tidak,jelas,rendah
339,menikah,3.0,iya,jelas,tinggi
340,menikah,2.8,iya,jelas,tinggi
341,pacaran,1.3,tidak,tidak_jelas,rendah
342,menikah,2.9,tidak,tidak_jelas,tinggi
343,menikah,4.7,iya,jelas,rendah
344,pacaran,3.5,tidak,jelas,rendah
345,pacaran,6.4,tidak,jelas,tinggi
346,pacaran,2.1,tidak,jelas,tinggi
347,menikah,5.4,tidak,jelas,tinggi
348,pacaran,2.8,tidak,jelas,tinggi
349,menikah,6.3,tidak,jelas,rendah
350,pacaran,5.6,iya,jelas,tinggi
351,menikah,6.0,iya,tidak_jelas,tinggi
352,pacaran,3.7,tidak,jelas,tinggi
353,menikah,6.7,tidak,jelas,tinggi
354,pacaran,0.7,tidak,tidak_jelas,rendah
355,pacaran,4.9,tidak,jelas,tinggi
356,pacaran,4.3,tidak,tidak_jelas,tinggi
357,pacaran,5.7,tidak,jelas,rendah
358,menikah,3.8,iya,jelas,rendah
359,menikah,2.0,iya,jelas,tinggi
360,menikah,1.8,tidak,tidak_jelas,rendah
361,menikah,4.0,tidak,tidak_jelas,tinggi
362,pacaran,3.5,tidak,tidak_jelas,rendah
363,menikah,5.7,iya,jelas,tinggi
364,pacaran,5.9,tidak,jelas,tinggi
365,menikah,4.1,tidak,tidak_jelas,tinggi
366,pacaran,4.1,iya,jelas,tinggi
367,pacaran,6.1,iya,jelas,rendah
368,pacaran,3.5,tidak,tidak_jelas,tinggi
369,menikah,3.6,iya,jelas,rendah
370,menikah,1.4,iya,tidak_jelas,tinggi
371,pacaran,5.8,tidak,jelas,rendah
372,menikah,3.8,tidak,jelas,rendah
373,menikah,6.3,iya,jelas,tinggi
374,pacaran,1.6,iya,jelas,rendah
375,menikah,3.0,tidak,tidak_jelas,tinggi
376,pacaran,5.9,tidak,jelas,rendah
377,menikah,4.7,tidak,jelas,tinggi
378,pacaran,1.6,iya,jelas,tinggi
379,pacaran,5.8,tidak,jelas,tinggi
380,menikah,1.4,tidak,tidak_jelas,tinggi
381,pacaran,5.7,tidak,jelas,rendah
382,menikah,2.0,iya,jelas,tinggi
383,menikah,6.4,iya,jelas,tinggi
384,menikah,4.2,tidak,jelas,rendah
385,menikah,4.7,tidak,jelas,rendah
386,menikah,3.8,tidak,jelas,tinggi
387,pacaran,4.2,tidak,jelas,tinggi
388,pacaran,4.2,iya,tidak_jelas,rendah
389,menikah,5.4,iya,tidak_jelas,rendah
390,menikah,3.9,tidak,jelas,rendah
391,pacaran,6.9,iya,jelas,rendah
392,menikah,2.5,iya,jelas,tinggi
393,pacaran,5.7,tidak,tidak_jelas,tinggi
394,pacaran,5.1,iya,jelas,rendah
395,pacaran,6.5,iya,jelas,tinggi
396,menikah,4.2,tidak,tidak_jelas,rendah
397,pacaran,4.7,iya,tidak_jelas,rendah
398,menikah,4.6,tidak,jelas,tinggi
399,menikah,1.6,tidak,tidak_jelas,rendah
400,menikah,4.8,tidak,jelas,tinggi
401,pacaran,10.5,iya,jelas,tinggi
402,menikah,7.2,tidak,jelas,rendah
403,menikah,2.4,tidak,jelas,tinggi
404,menikah,0.5,iya,jelas,tinggi
405,menikah,4.1,iya,jelas,tinggi
406,menikah,6.2,tidak,jelas,rendah
407,pacaran,3.9,tidak,jelas,tinggi
408,pacaran,7.8,tidak,jelas,tinggi
409,menikah,2.4,tidak,jelas,rendah
410,menikah,4.4,iya,jelas,rendah
411,menikah,3.8,tidak,jelas,rendah
412,menikah,5.5,tidak,jelas,rendah
413,pacaran,5.6,iya,jelas,rendah
414,pacaran,6.4,tidak,tidak_jelas,rendah
415,pacaran,3.8,iya,jelas,tinggi
416,pacaran,6.5,tidak,jelas,rendah
417,menikah,4.7,iya,jelas,tinggi
418,menikah,6.7,tidak,jelas,tinggi
419,pacaran,7.0,tidak,tidak_jelas,rendah
420,menikah,4.0,tidak,jelas,rendah
421,menikah,2.7,iya,jelas,tinggi
422,pacaran,4.4,tidak,jelas,tinggi
423,menikah,6.0,tidak,jelas,tinggi
424,menikah,1.0,tidak,jelas,rendah
425,menikah,3.0,tidak,jelas,tinggi
426,pacaran,5.4,tidak,jelas,rendah
427,pacaran,0.5,iya,jelas,rendah
428,pacaran,1.9,tidak,jelas,tinggi
429,menikah,2.8,tidak,tidak_jelas,tinggi
430,pacaran,3.8,iya,jelas,tinggi
431,menikah,3.4,tidak,jelas,rendah
432,menikah,3.4,tidak,jelas,rendah
433,menikah,1.3,tidak,jelas,rendah
434,pacaran,7.5,tidak,tidak_jelas,tinggi
435,menikah,2.8,tidak,tidak_jelas,tinggi
436,menikah,0.5,tidak,tidak_jelas,tinggi
437,pacaran,6.3,iya,jelas,tinggi
438,menikah,2.4,tidak,tidak_jelas,rendah
439,menikah,1.6,tidak,jelas,tinggi
440,pacaran,5.4,iya,jelas,rendah
441,menikah,3.0,iya,jelas,tinggi
442,pacaran,4.3,tidak,jelas,tinggi
443,pacaran,2.7,tidak,jelas,tinggi
444,pacaran,3.1,iya,tidak_jelas,rendah
445,menikah,2.0,tidak,jelas,rendah
446,pacaran,1.6,tidak,tidak_jelas,tinggi
447,pacaran,10.9,tidak,tidak_jelas,tinggi
448,pacaran,2.3,tidak,tidak_jelas,rendah
449,menikah,1.1,tidak,tidak_jelas,tinggi
450,pacaran,6.3,iya,jelas,rendah
451,menikah,4.5,iya,jelas,tinggi
452,menikah,4.0,tidak,jelas,tinggi
453,pacaran,3.0,tidak,jelas,rendah
454,menikah,3.2,tidak,tidak_jelas,rendah
455,pacaran,3.4,tidak,jelas,tinggi
456,menikah,6.3,tidak,jelas,rendah
457,menikah,3.5,tidak,jelas,tinggi
458,pacaran,6.3,tidak,jelas,rendah
459,menikah,3.9,iya,jelas,tinggi
460,menikah,3.6,iya,jelas,rendah
461,pacaran,2.0,tidak,jelas,rendah
462,menikah,8.3,tidak,tidak_jelas,rendah
463,menikah,4.0,tidak,tidak_jelas,tinggi
464,pacaran,4.0,tidak,jelas,rendah
465,pacaran,7.7,iya,jelas,tinggi
466,pacaran,4.8,tidak,tidak_jelas,rendah
467,menikah,5.1,tidak,jelas,rendah
468,pacaran,4.1,tidak,tidak_jelas,tinggi
469,pacaran,2.5,tidak,jelas,rendah
470,menikah,6.4,tidak,jelas,tinggi
471,pacaran,1.2,iya,tidak_jelas,tinggi
472,pacaran,2.0,tidak,jelas,rendah
473,pacaran,2.4,tidak,tidak_jelas,rendah
474,pacaran,4.5,tidak,tidak_jelas,rendah
475,menikah,4.0,tidak,tidak_jelas,rendah
476,pacaran,0.5,tidak,tidak_jelas,rendah
477,pacaran,8.6,tidak,jelas,rendah
478,pacaran,5.5,tidak,jelas,tinggi
479,pacaran,3.0,tidak,jelas,rendah
480,pacaran,4.9,iya,tidak_jelas,tinggi
481,pacaran,4.9,tidak,jelas,rendah
482,menikah,3.3,iya,jelas,tinggi
483,pacaran,4.8,tidak,tidak_jelas,tinggi
484,pacaran,4.8,iya,jelas,rendah
485,menikah,6.2,tidak,tidak_jelas,tinggi
486,pacaran,4.1,tidak,tidak_jelas,rendah
487,pacaran,4.6,iya,jelas,rendah
488,menikah,3.6,iya,tidak_jelas,tinggi
489,pacaran,3.1,tidak,tidak_jelas,rendah
490,pacaran,2.5,tidak,jelas,tinggi
491,menikah,2.4,tidak,tidak_jelas,tinggi
492,pacaran,3.1,iya,tidak_jelas,tinggi
493,pacaran,3.5,tidak,jelas,tinggi
494,pacaran,6.0,tidak,tidak_jelas,tinggi
495,pacaran,3.2,iya,jelas,tinggi
496,menikah,3.3,iya,jelas,tinggi
497,pacaran,3.4,tidak,tidak_jelas,tinggi
498,pacaran,3.9,tidak,tidak_jelas,tinggi
499,pacaran,7.4,tidak,jelas,tinggi
500,menikah,3.2,iya,jelas,tinggi
501,pacaran,5.1,iya,jelas,tinggi
502,menikah,4.7,tidak,jelas,rendah
503,menikah,4.1,tidak,jelas,rendah
504,pacaran,2.1,tidak,tidak_jelas,tinggi
505,pacaran,5.0,tidak,jelas,rendah
506,menikah,0.5,iya,jelas,tinggi
507,menikah,2.0,tidak,jelas,tinggi
508,pacaran,2.9,tidak,tidak_jelas,rendah
509,menikah,3.6,iya,tidak_jelas,rendah
510,menikah,4.2,iya,jelas,tinggi
511,pacaran,6.8,tidak,jelas,rendah
512,menikah,5.3,tidak,tidak_jelas,tinggi
513,menikah,4.3,iya,tidak_jelas,rendah
514,menikah,3.3,tidak,jelas,tinggi
515,pacaran,3.3,iya,jelas,tinggi
516,menikah,1.7,tidak,jelas,tinggi
517,pacaran,0.5,tidak,jelas,rendah
518,menikah,1.4,iya,jelas,tinggi
519,pacaran,6.3,iya,tidak_jelas,rendah
520,pacaran,2.6,tidak,tidak_jelas,rendah
521,menikah,3.0,tidak,jelas,rendah
522,pacaran,6.0,iya,jelas,tinggi
523,menikah,0.5,tidak,tidak_jelas,rendah
524,pacaran,2.8,tidak,tidak_jelas,tinggi
525,menikah,1.8,tidak,jelas,tinggi
526,pacaran,4.6,iya,tidak_jelas,tinggi
527,menikah,5.1,iya,tidak_jelas,rendah
528,menikah,5.1,tidak,jelas,rendah
529,menikah,7.0,tidak,jelas,rendah
530,menikah,5.1,tidak,jelas,tinggi
531,pacaran,4.5,iya,tidak_jelas,rendah
532,menikah,8.9,iya,jelas,rendah
533,menikah,0.5,tidak,jelas,tinggi
534,menikah,8.4,tidak,tidak_jelas,tinggi
535,menikah,7.5,tidak,jelas,rendah
536,menikah,3.7,tidak,jelas,tinggi
537,menikah,2.6,tidak,tidak_jelas,tinggi
538,menikah,2.7,iya,jelas,rendah
539,menikah,3.4,tidak,jelas,tinggi
540,menikah,6.4,iya,jelas,rendah
541,pacaran,0.5,tidak,jelas,rendah
542,menikah,8.0,iya,jelas,tinggi
543,menikah,4.0,tidak,jelas,tinggi
544,pacaran,6.4,tidak,jelas,tinggi
545,pacaran,1.5,tidak,tidak_jelas,tinggi
546,pacaran,5.4,iya,jelas,rendah
547,pacaran,4.8,tidak,jelas,tinggi
548,menikah,5.1,iya,jelas,rendah
549,pacaran,2.6,tidak,jelas,tinggi
550,menikah,3.2,tidak,jelas,tinggi
551,menikah,1.5,tidak,jelas,tinggi
552,menikah,5.5,tidak,jelas,rendah
553,pacaran,6.7,tidak,jelas,rendah
554,pacaran,4.6,tidak,tidak_jelas,rendah
555,pacaran,0.5,tidak,jelas,rendah
556,pacaran,6.7,iya,jelas,rendah
557,pacaran,4.2,iya,jelas,tinggi
558,pacaran,0.5,tidak,jelas,tinggi
559,pacaran,0.6,tidak,jelas,tinggi
560,pacaran,1.9,tidak,jelas,tinggi
561,pacaran,4.0,tidak,jelas,rendah
562,menikah,2.0,iya,jelas,rendah
563,menikah,2.2,tidak,jelas,rendah
564,menikah,5.8,tidak,jelas,tinggi
565,menikah,6.4,iya,jelas,rendah
566,pacaran,5.9,tidak,jelas,rendah
567,menikah,0.7,tidak,jelas,tinggi
568,pacaran,5.9,tidak,jelas,rendah
569,pacaran,3.0,iya,tidak_jelas,tinggi
570,pacaran,7.9,iya,jelas,rendah
571,pacaran,4.5,iya,jelas,tinggi
572,pacaran,6.4,iya,jelas,tinggi
573,menikah,5.1,iya,jelas,tinggi
574,menikah,4.9,tidak,jelas,tinggi
575,pacaran,3.3,tidak,jelas,tinggi
576,menikah,6.4,tidak,jelas,tinggi
577,menikah,5.9,tidak,jelas,tinggi
578,pacaran,3.3,tidak,tidak_jelas,rendah
579,menikah,3.1,tidak,jelas,rendah
580,menikah,2.6,tidak,jelas,tinggi
