responden_id,kepuasan_hubungan,kualitas_komunikasi,merasa_diperhatikan,keintiman_emosional,konflik_berulang
62,sedang,rendah,tidak,tinggi,sering
63,tinggi,sedang,iya,tinggi,jarang
64,sedang,sedang,iya,sedang,sering
65,sedang,sedang,tidak,sedang,sering
66,sedang,sedang,iya,sedang,jarang
67,rendah,rendah,iya,rendah,jarang
68,tinggi,tinggi,tidak,sedang,sering
69,rendah,sedang,tidak,rendah,sering
70,tinggi,tinggi,tidak,rendah,jarang
71,tinggi,tinggi,iya,tinggi,jarang
72,rendah,sedang,tidak,tinggi,jarang
73,rendah,sedang,tidak,sedang,jarang
74,tinggi,sedang,iya,sedang,sering
75,tinggi,sedang,tidak,sedang,jarang
76,tinggi,tinggi,tidak,tinggi,sering
77,tinggi,tinggi,tidak,tinggi,jarang
78,rendah,rendah,iya,tinggi,jarang
79,sedang,rendah,iya,tinggi,jarang
80,rendah,tinggi,iya,rendah,sering
81,tinggi,tinggi,iya,sedang,jarang
82,sedang,tinggi,iya,sedang,sering
83,sedang,sedang,iya,sedang,jarang
84,rendah,sedang,tidak,tinggi,jarang
85,sedang,tinggi,tidak,sedang,jarang
86,sedang,tinggi,iya,rendah,jarang
87,tinggi,sedang,iya,sedang,sering
88,sedang,rendah,tidak,tinggi,jarang
89,tinggi,sedang,iya,rendah,sering
90,sedang,sedang,tidak,sedang,jarang
91,rendah,sedang,iya,sedang,jarang
92,tinggi,tinggi,iya,rendah,jarang
93,tinggi,sedang,tidak,sedang,jarang
94,sedang,tinggi,iya,tinggi,sering
95,tinggi,rendah,tidak,sedang,sering
96,sedang,tinggi,iya,tinggi,jarang
97,sedang,tinggi,tidak,rendah,jarang
98,sedang,rendah,iya,rendah,sering
99,rendah,rendah,tidak,tinggi,sering
100,rendah,sedang,iya,sedang,sering
101,rendah,rendah,iya,sedang,jarang
102,sedang,tinggi,iya,tinggi,jarang
103,sedang,tinggi,tidak,sedang,sering
104,sedang,sedang,iya,tinggi,sering
105,tinggi,sedang,tidak,rendah,jarang
106,rendah,sedang,tidak,rendah,sering
107,sedang,tinggi,iya,rendah,sering
108,tinggi,rendah,tidak,tinggi,jarang
109,rendah,sedang,tidak,rendah,jarang
110,rendah,sedang,iya,tinggi,jarang
111,sedang,sedang,iya,tinggi,jarang
112,rendah,sedang,iya,sedang,sering
113,tinggi,tinggi,iya,sedang,jarang
114,tinggi,rendah,iya,sedang,sering
115,sedang,rendah,tidak,sedang,sering
116,tinggi,tinggi,iya,sedang,jarang
117,tinggi,tinggi,iya,sedang,jarang
118,rendah,rendah,iya,tinggi,sering
119,tinggi,sedang,tidak,tinggi,sering
120,sedang,sedang,iya,tinggi,sering
121,tinggi,sedang,tidak,tinggi,jarang
122,tinggi,sedang,tidak,sedang,jarang
123,sedang,rendah,tidak,sedang,jarang
124,rendah,sedang,iya,tinggi,sering
125,rendah,tinggi,iya,sedang,jarang
126,sedang,sedang,iya,tinggi,sering
127,tinggi,tinggi,iya,sedang,jarang
128,tinggi,rendah,tidak,sedang,sering
129,rendah,tinggi,tidak,tinggi,sering
130,sedang,tinggi,tidak,tinggi,jarang
131,sedang,tinggi,iya,rendah,sering
132,rendah,tinggi,iya,tinggi,jarang
133,rendah,tinggi,iya,sedang,jarang
134,sedang,sedang,tidak,rendah,jarang
135,tinggi,sedang,tidak,tinggi,jarang
136,sedang,sedang,tidak,sedang,jarang
137,sedang,tinggi,iya,sedang,sering
138,tinggi,tinggi,iya,sedang,sering
139,sedang,sedang,iya,sedang,jarang
140,tinggi,rendah,iya,sedang,sering
141,tinggi,sedang,iya,sedang,sering
142,sedang,tinggi,iya,rendah,sering
143,sedang,sedang,tidak,tinggi,sering
144,sedang,sedang,iya,sedang,jarang
145,sedang,sedang,iya,tinggi,jarang
146,rendah,sedang,tidak,sedang,sering
147,sedang,tinggi,iya,sedang,jarang
148,sedang,tinggi,iya,sedang,jarang
149,rendah,tinggi,iya,sedang,jarang
150,sedang,sedang,iya,sedang,jarang
151,tinggi,sedang,iya,sedang,jarang
152,rendah,sedang,iya,sedang,jarang
153,rendah,tinggi,tidak,rendah,jarang
154,sedang,sedang,tidak,sedang,sering
155,tinggi,sedang,tidak,rendah,jarang
156,rendah,sedang,tidak,rendah,jarang
157,sedang,tinggi,iya,tinggi,jarang
158,tinggi,rendah,iya,sedang,jarang
159,rendah,tinggi,tidak,sedang,jarang
160,tinggi,sedang,iya,sedang,jarang
161,sedang,sedang,tidak,tinggi,jarang
162,sedang,rendah,tidak,sedang,sering
163,sedang,sedang,tidak,tinggi,jarang
164,sedang,sedang,iya,sedang,jarang
165,rendah,rendah,tidak,tinggi,jarang
166,tinggi,sedang,iya,tinggi,sering
167,sedang,tinggi,iya,tinggi,sering
168,rendah,rendah,iya,rendah,sering
169,rendah,tinggi,tidak,rendah,jarang
170,sedang,sedang,tidak,rendah,jarang
171,sedang,tinggi,tidak,rendah,jarang
172,rendah,sedang,iya,tinggi,sering
173,sedang,rendah,tidak,rendah,jarang
174,rendah,rendah,iya,rendah,sering
175,sedang,rendah,iya,rendah,sering
176,rendah,rendah,iya,rendah,sering
177,sedang,tinggi,iya,rendah,jarang
178,sedang,tinggi,tidak,tinggi,sering
179,tinggi,tinggi,tidak,sedang,jarang
180,rendah,tinggi,tidak,rendah,jarang
181,sedang,rendah,iya,sedang,jarang
182,rendah,sedang,tidak,sedang,sering
183,tinggi,sedang,tidak,rendah,jarang
184,tinggi,sedang,iya,sedang,jarang
185,sedang,sedang,tidak,tinggi,jarang
186,sedang,sedang,iya,tinggi,sering
187,tinggi,sedang,iya,tinggi,sering
188,sedang,sedang,tidak,rendah,sering
189,sedang,tinggi,tidak,tinggi,jarang
190,rendah,tinggi,tidak,tinggi,jarang
191,rendah,sedang,iya,tinggi,jarang
192,tinggi,tinggi,iya,rendah,jarang
193,tinggi,tinggi,iya,tinggi,sering
194,sedang,sedang,iya,tinggi,jarang
195,sedang,sedang,iya,tinggi,jarang
196,sedang,sedang,tidak,rendah,jarang
197,tinggi,tinggi,tidak,tinggi,sering
198,tinggi,tinggi,iya,tinggi,jarang
199,tinggi,rendah,tidak,sedang,jarang
200,tinggi,sedang,tidak,sedang,sering
201,sedang,sedang,iya,tinggi,jarang
202,rendah,sedang,iya,sedang,sering
203,rendah,rendah,iya,sedang,jarang
204,tinggi,tinggi,iya,sedang,sering
205,sedang,tinggi,tidak,tinggi,jarang
206,rendah,tinggi,iya,rendah,jarang
207,rendah,tinggi,tidak,sedang,sering
208,sedang,tinggi,tidak,sedang,jarang
209,rendah,sedang,iya,tinggi,jarang
210,rendah,sedang,tidak,sedang,jarang
211,sedang,rendah,iya,tinggi,sering
212,sedang,tinggi,tidak,tinggi,jarang
213,sedang,rendah,iya,rendah,sering
214,rendah,tinggi,iya,sedang,sering
215,tinggi,sedang,iya,rendah,sering
216,rendah,rendah,iya,sedang,jarang
217,sedang,rendah,tidak,sedang,jarang
218,tinggi,rendah,iya,tinggi,sering
219,sedang,tinggi,iya,tinggi,jarang
220,tinggi,tinggi,tidak,rendah,jarang
221,sedang,sedang,iya,rendah,jarang
222,sedang,rendah,iya,sedang,jarang
223,rendah,rendah,tidak,sedang,jarang
224,sedang,rendah,iya,rendah,jarang
225,sedang,rendah,tidak,tinggi,sering
226,rendah,tinggi,iya,tinggi,jarang
227,tinggi,sedang,tidak,sedang,jarang
228,sedang,sedang,iya,tinggi,jarang
229,tinggi,rendah,iya,sedang,jarang
230,sedang,sedang,iya,tinggi,jarang
231,tinggi,sedang,iya,sedang,sering
232,sedang,sedang,iya,rendah,sering
233,sedang,sedang,iya,tinggi,jarang
234,sedang,rendah,tidak,sedang,jarang
235,rendah,sedang,iya,tinggi,jarang
236,tinggi,sedang,iya,sedang,sering
237,sedang,sedang,iya,rendah,sering
238,rendah,tinggi,iya,rendah,sering
239,sedang,sedang,iya,sedang,jarang
240,rendah,sedang,iya,sedang,sering
241,tinggi,sedang,iya,sedang,jarang
242,tinggi,sedang,tidak,sedang,jarang
243,tinggi,sedang,iya,sedang,sering
244,sedang,tinggi,iya,tinggi,sering
245,rendah,tinggi,iya,sedang,jarang
246,tinggi,rendah,iya,tinggi,jarang
247,sedang,sedang,tidak,sedang,jarang
248,tinggi,sedang,iya,sedang,jarang
249,tinggi,tinggi,iya,rendah,jarang
250,tinggi,sedang,tidak,sedang,sering
251,sedang,sedang,iya,rendah,sering
252,sedang,rendah,tidak,sedang,sering
253,tinggi,sedang,tidak,rendah,sering
254,sedang,rendah,tidak,sedang,jarang
255,rendah,sedang,iya,tinggi,sering
256,sedang,rendah,iya,sedang,jarang
257,tinggi,tinggi,iya,rendah,jarang
258,sedang,sedang,iya,rendah,jarang
259,sedang,sedang,iya,tinggi,jarang
260,rendah,tinggi,tidak,rendah,sering
261,sedang,sedang,tidak,sedang,sering
262,tinggi,sedang,iya,sedang,jarang
263,rendah,sedang,tidak,sedang,sering
264,sedang,rendah,iya,sedang,jarang
265,tinggi,tinggi,iya,tinggi,sering
266,tinggi,rendah,iya,rendah,jarang
267,sedang,sedang,iya,rendah,jarang
268,tinggi,sedang,tidak,rendah,jarang
269,sedang,sedang,tidak,rendah,sering
270,sedang,tinggi,iya,rendah,jarang
271,tinggi,sedang,iya,sedang,sering
272,tinggi,rendah,iya,sedang,jarang
273,tinggi,tinggi,tidak,sedang,sering
274,tinggi,sedang,iya,sedang,sering
275,sedang,tinggi,iya,tinggi,jarang
276,sedang,tinggi,iya,sedang,jarang
277,tinggi,tinggi,tidak,rendah,sering
278,sedang,sedang,iya,sedang,sering
279,tinggi,sedang,iya,rendah,sering
280,tinggi,tinggi,tidak,rendah,jarang
281,tinggi,sedang,iya,sedang,jarang
282,sedang,rendah,iya,tinggi,sering
283,sedang,tinggi,iya,tinggi,jarang
284,rendah,tinggi,iya,rendah,jarang
285,sedang,sedang,tidak,tinggi,jarang
286,rendah,rendah,iya,tinggi,sering
287,sedang,sedang,iya,sedang,sering
288,sedang,tinggi,iya,tinggi,jarang
289,sedang,tinggi,iya,sedang,jarang
290,sedang,sedang,iya,rendah,jarang
291,rendah,rendah,tidak,sedang,jarang
292,rendah,tinggi,iya,sedang,jarang
293,tinggi,sedang,iya,sedang,sering
294,sedang,sedang,tidak,sedang,jarang
295,rendah,tinggi,iya,tinggi,jarang
296,sedang,rendah,iya,tinggi,sering
297,tinggi,sedang,iya,tinggi,jarang
298,rendah,rendah,tidak,tinggi,jarang
299,sedang,sedang,iya,tinggi,jarang
300,rendah,tinggi,tidak,rendah,jarang
301,rendah,sedang,iya,rendah,sering
302,sedang,tinggi,iya,sedang,jarang
303,sedang,sedang,iya,tinggi,jarang
304,sedang,sedang,iya,sedang,sering
305,tinggi,sedang,iya,tinggi,sering
306,tinggi,sedang,iya,rendah,jarang
307,sedang,sedang,iya,rendah,jarang
308,sedang,rendah,iya,tinggi,sering
309,tinggi,sedang,iya,rendah,jarang
310,sedang,sedang,iya,sedang,sering
311,sedang,tinggi,iya,rendah,sering
312,rendah,tinggi,iya,sedang,sering
313,rendah,tinggi,iya,tinggi,jarang
314,tinggi,rendah,tidak,sedang,jarang
315,tinggi,sedang,tidak,sedang,sering
316,sedang,tinggi,iya,rendah,jarang
317,sedang,sedang,iya,tinggi,jarang
318,rendah,rendah,iya,sedang,jarang
319,rendah,tinggi,iya,sedang,jarang
320,sedang,tinggi,tidak,tinggi,sering
321,sedang,sedang,iya,rendah,jarang
322,tinggi,rendah,iya,tinggi,sering
323,sedang,tinggi,iya,sedang,jarang
324,sedang,sedang,iya,sedang,jarang
325,tinggi,tinggi,tidak,rendah,jarang
326,tinggi,tinggi,tidak,tinggi,sering
327,sedang,tinggi,iya,tinggi,sering
328,sedang,sedang,iya,rendah,jarang
329,sedang,rendah,iya,sedang,sering
330,rendah,tinggi,tidak,tinggi,jarang
331,sedang,sedang,tidak,sedang,sering
332,tinggi,tinggi,iya,tinggi,sering
333,rendah,rendah,iya,sedang,sering
334,rendah,rendah,iya,tinggi,sering
335,rendah,tinggi,tidak,sedang,jarang
336,rendah,tinggi,iya,rendah,jarang
337,tinggi,tinggi,tidak,sedang,jarang
338,tinggi,tinggi,tidak,tinggi,jarang
339,sedang,sedang,iya,sedang,sering
340,rendah,tinggi,tidak,sedang,jarang
341,sedang,tinggi,tidak,sedang,sering
342,sedang,sedang,iya,sedang,jarang
343,rendah,sedang,iya,tinggi,jarang
344,sedang,rendah,iya,tinggi,sering
345,sedang,sedang,iya,rendah,jarang
346,sedang,tinggi,tidak,tinggi,sering
347,sedang,sedang,tidak,tinggi,jarang
348,rendah,sedang,iya,tinggi,sering
349,sedang,sedang,iya,sedang,jarang
350,sedang,sedang,iya,tinggi,jarang
351,sedang,sedang,tidak,rendah,sering
352,tinggi,sedang,iya,sedang,sering
353,sedang,tinggi,tidak,tinggi,jarang
354,rendah,sedang,iya,rendah,jarang
355,rendah,rendah,iya,rendah,jarang
356,sedang,rendah,iya,tinggi,jarang
357,rendah,tinggi,iya,tinggi,sering
358,sedang,sedang,iya,rendah,sering
359,tinggi,tinggi,iya,tinggi,jarang
360,sedang,tinggi,iya,sedang,jarang
361,sedang,tinggi,tidak,sedang,sering
362,sedang,sedang,iya,tinggi,jarang
363,sedang,tinggi,tidak,sedang,sering
364,sedang,sedang,iya,rendah,jarang
365,tinggi,tinggi,iya,rendah,sering
366,sedang,sedang,iya,sedang,jarang
367,tinggi,sedang,iya,sedang,sering
368,tinggi,sedang,tidak,tinggi,jarang
369,rendah,rendah,iya,tinggi,jarang
370,rendah,tinggi,iya,sedang,sering
371,rendah,sedang,iya,tinggi,jarang
372,rendah,sedang,tidak,rendah,jarang
373,rendah,sedang,iya,rendah,jarang
374,sedang,tinggi,iya,tinggi,jarang
375,rendah,tinggi,tidak,rendah,sering
376,sedang,tinggi,tidak,rendah,sering
377,tinggi,tinggi,iya,sedang,jarang
378,rendah,rendah,iya,sedang,sering
379,tinggi,rendah,iya,tinggi,jarang
380,sedang,tinggi,iya,rendah,sering
381,rendah,sedang,iya,rendah,jarang
382,sedang,sedang,iya,sedang,jarang
383,sedang,rendah,tidak,sedang,jarang
384,tinggi,sedang,tidak,sedang,jarang
385,tinggi,rendah,iya,sedang,jarang
386,tinggi,tinggi,iya,tinggi,jarang
387,sedang,sedang,iya,tinggi,sering
388,rendah,sedang,iya,rendah,jarang
389,tinggi,rendah,tidak,sedang,sering
390,tinggi,tinggi,iya,sedang,jarang
391,tinggi,sedang,tidak,tinggi,sering
392,sedang,tinggi,iya,tinggi,sering
393,sedang,tinggi,iya,rendah,sering
394,tinggi,sedang,iya,tinggi,sering
395,sedang,tinggi,iya,sedang,sering
396,tinggi,tinggi,tidak,rendah,jarang
397,tinggi,tinggi,iya,rendah,sering
398,sedang,tinggi,tidak,sedang,jarang
399,tinggi,sedang,iya,sedang,jarang
400,tinggi,sedang,iya,rendah,jarang
401,rendah,rendah,iya,sedang,sering
402,tinggi,rendah,iya,rendah,jarang
403,sedang,tinggi,tidak,sedang,jarang
404,tinggi,sedang,iya,sedang,jarang
405,sedang,tinggi,tidak,rendah,sering
406,tinggi,tinggi,iya,sedang,jarang
407,sedang,tinggi,tidak,rendah,jarang
408,rendah,tinggi,tidak,sedang,jarang
409,tinggi,sedang,iya,rendah,sering
410,rendah,rendah,iya,sedang,sering
411,sedang,sedang,tidak,rendah,sering
412,tinggi,rendah,iya,sedang,sering
413,tinggi,rendah,iya,tinggi,jarang
414,sedang,sedang,iya,rendah,sering
415,sedang,tinggi,tidak,sedang,jarang
416,sedang,sedang,iya,rendah,jarang
417,sedang,sedang,iya,sedang,jarang
418,sedang,tinggi,iya,rendah,jarang
419,sedang,sedang,iya,sedang,sering
420,tinggi,rendah,iya,sedang,jarang
421,tinggi,tinggi,iya,tinggi,sering
422,tinggi,sedang,iya,sedang,jarang
423,rendah,tinggi,tidak,sedang,jarang
424,sedang,rendah,tidak,sedang,jarang
425,rendah,tinggi,iya,tinggi,sering
426,sedang,sedang,tidak,tinggi,sering
427,sedang,sedang,iya,rendah,jarang
428,tinggi,sedang,iya,tinggi,jarang
429,sedang,tinggi,tidak,sedang,jarang
430,rendah,sedang,iya,tinggi,sering
431,rendah,sedang,iya,tinggi,sering
432,tinggi,tinggi,iya,rendah,jarang
433,sedang,tinggi,iya,tinggi,sering
434,rendah,sedang,iya,rendah,jarang
435,rendah,tinggi,iya,rendah,jarang
436,tinggi,sedang,iya,rendah,sering
437,rendah,sedang,iya,tinggi,jarang
438,tinggi,sedang,tidak,rendah,jarang
439,tinggi,tinggi,tidak,rendah,jarang
440,rendah,tinggi,iya,tinggi,jarang
441,rendah,sedang,tidak,rendah,sering
442,tinggi,sedang,tidak,rendah,sering
443,sedang,sedang,iya,rendah,sering
444,sedang,tinggi,tidak,sedang,jarang
445,tinggi,tinggi,iya,sedang,jarang
446,tinggi,sedang,iya,rendah,jarang
447,tinggi,tinggi,iya,tinggi,jarang
448,tinggi,tinggi,iya,tinggi,sering
449,sedang,sedang,tidak,sedang,sering
450,rendah,rendah,iya,sedang,jarang
451,tinggi,sedang,iya,sedang,sering
452,sedang,tinggi,iya,sedang,sering
453,sedang,tinggi,iya,rendah,jarang
454,tinggi,sedang,tidak,rendah,sering
455,rendah,tinggi,iya,tinggi,jarang
456,sedang,rendah,tidak,rendah,jarang
457,rendah,sedang,iya,sedang,jarang
458,sedang,tinggi,iya,tinggi,jarang
459,rendah,tinggi,tidak,sedang,jarang
460,rendah,sedang,tidak,sedang,jarang
461,rendah,sedang,tidak,sedang,jarang
462,sedang,rendah,iya,rendah,sering
463,tinggi,sedang,iya,tinggi,sering
464,sedang,sedang,tidak,sedang,sering
465,tinggi,rendah,iya,tinggi,jarang
466,sedang,tinggi,tidak,tinggi,jarang
467,sedang,sedang,iya,tinggi,jarang
468,tinggi,tinggi,tidak,tinggi,jarang
469,rendah,tinggi,iya,sedang,jarang
470,tinggi,rendah,iya,sedang,sering
471,rendah,rendah,iya,sedang,sering
472,tinggi,tinggi,iya,sedang,sering
473,rendah,sedang,iya,tinggi,jarang
474,tinggi,tinggi,iya,rendah,jarang
475,sedang,tinggi,iya,tinggi,sering
476,tinggi,tinggi,iya,tinggi,jarang
477,rendah,tinggi,iya,tinggi,jarang
478,sedang,sedang,tidak,tinggi,jarang
479,tinggi,sedang,iya,rendah,jarang
480,sedang,sedang,tidak,rendah,jarang
481,sedang,rendah,iya,rendah,sering
482,sedang,sedang,iya,rendah,sering
483,sedang,sedang,iya,sedang,jarang
484,sedang,tinggi,tidak,tinggi,jarang
485,sedang,sedang,tidak,tinggi,sering
486,tinggi,sedang,iya,sedang,jarang
487,rendah,sedang,iya,rendah,jarang
488,sedang,rendah,iya,rendah,jarang
489,tinggi,rendah,iya,rendah,jarang
490,tinggi,sedang,iya,sedang,sering
491,sedang,rendah,iya,sedang,sering
492,sedang,sedang,tidak,rendah,jarang
493,sedang,tinggi,iya,sedang,jarang
494,rendah,tinggi,tidak,rendah,jarang
495,sedang,tinggi,iya,sedang,jarang
496,sedang,sedang,tidak,sedang,sering
497,sedang,tinggi,iya,sedang,sering
498,rendah,tinggi,tidak,sedang,jarang
499,tinggi,rendah,tidak,tinggi,sering
500,tinggi,tinggi,iya,rendah,sering
501,sedang,sedang,tidak,sedang,sering
502,sedang,tinggi,tidak,tinggi,jarang
503,sedang,tinggi,iya,sedang,jarang
504,tinggi,rendah,tidak,tinggi,sering
505,sedang,tinggi,tidak,sedang,jarang
506,rendah,sedang,iya,sedang,sering
507,tinggi,tinggi,iya,rendah,sering
508,tinggi,sedang,iya,sedang,sering
509,tinggi,tinggi,iya,rendah,jarang
510,tinggi,rendah,iya,rendah,sering
511,sedang,sedang,tidak,sedang,jarang
512,sedang,rendah,iya,sedang,sering
513,tinggi,tinggi,iya,rendah,jarang
514,tinggi,tinggi,iya,sedang,jarang
515,rendah,tinggi,iya,sedang,sering
516,rendah,tinggi,tidak,rendah,jarang
517,sedang,rendah,iya,sedang,jarang
518,tinggi,sedang,iya,tinggi,sering
519,tinggi,rendah,iya,sedang,jarang
520,rendah,sedang,tidak,sedang,sering
521,sedang,sedang,tidak,sedang,jarang
522,sedang,sedang,tidak,sedang,sering
523,tinggi,sedang,iya,tinggi,sering
524,tinggi,rendah,tidak,sedang,jarang
525,tinggi,rendah,tidak,rendah,jarang
526,sedang,rendah,iya,sedang,jarang
527,sedang,tinggi,tidak,tinggi,jarang
528,sedang,tinggi,iya,rendah,jarang
529,rendah,tinggi,iya,tinggi,sering
530,tinggi,sedang,iya,tinggi,jarang
531,tinggi,sedang,iya,rendah,jarang
532,tinggi,tinggi,iya,tinggi,sering
533,tinggi,sedang,iya,sedang,jarang
534,sedang,sedang,tidak,tinggi,jarang
535,tinggi,sedang,tidak,sedang,jarang
536,tinggi,rendah,tidak,sedang,jarang
537,tinggi,sedang,iya,sedang,sering
538,rendah,sedang,iya,tinggi,sering
539,sedang,tinggi,iya,rendah,jarang
540,rendah,rendah,iya,sedang,jarang
541,tinggi,sedang,tidak,rendah,jarang
542,sedang,tinggi,iya,sedang,jarang
543,rendah,rendah,iya,sedang,sering
544,sedang,sedang,tidak,sedang,jarang
545,sedang,tinggi,iya,sedang,jarang
546,sedang,rendah,tidak,rendah,jarang
547,rendah,rendah,iya,rendah,sering
548,sedang,sedang,iya,rendah,sering
549,sedang,sedang,tidak,sedang,sering
550,tinggi,sedang,iya,tinggi,sering
551,sedang,tinggi,tidak,rendah,jarang
552,tinggi,rendah,iya,tinggi,jarang
553,sedang,sedang,iya,tinggi,jarang
554,sedang,sedang,tidak,sedang,sering
555,tinggi,rendah,iya,sedang,sering
556,sedang,sedang,iya,tinggi,jarang
557,rendah,sedang,iya,rendah,sering
558,rendah,sedang,tidak,sedang,sering
559,tinggi,rendah,iya,sedang,sering
560,sedang,sedang,iya,sedang,jarang
561,tinggi,sedang,tidak,tinggi,sering
562,rendah,tinggi,tidak,rendah,jarang
563,rendah,rendah,tidak,sedang,sering
564,rendah,sedang,iya,sedang,sering
565,sedang,sedang,tidak,sedang,jarang
566,sedang,tinggi,iya,sedang,sering
567,sedang,sedang,iya,sedang,sering
568,sedang,tinggi,iya,tinggi,jarang
569,tinggi,tinggi,iya,sedang,jarang
570,sedang,tinggi,iya,tinggi,jarang
571,sedang,sedang,iya,sedang,sering
572,tinggi,sedang,tidak,rendah,sering
573,sedang,tinggi,tidak,rendah,jarang
574,sedang,tinggi,iya,rendah,jarang
575,tinggi,tinggi,tidak,sedang,jarang
576,tinggi,sedang,iya,sedang,jarang
577,rendah,rendah,iya,tinggi,jarang
578,tinggi,sedang,tidak,tinggi,jarang
579,sedang,tinggi,iya,rendah,jarang
580,sedang,sedang,iya,rendah,jarang
581,sedang,sedang,iya,rendah,sering
582,tinggi,tinggi,iya,sedang,sering
583,sedang,sedang,iya,rendah,sering
584,sedang,tinggi,tidak,rendah,sering
585,sedang,sedang,iya,tinggi,jarang
586,rendah,sedang,iya,tinggi,jarang
587,rendah,sedang,iya,rendah,jarang
588,rendah,tinggi,tidak,sedang,sering
589,rendah,rendah,tidak,sedang,sering
590,rendah,rendah,iya,tinggi,sering
591,rendah,tinggi,iya,sedang,sering
592,sedang,rendah,tidak,rendah,sering
593,rendah,sedang,iya,tinggi,jarang
594,sedang,sedang,iya,sedang,jarang
595,tinggi,sedang,iya,rendah,jarang
596,sedang,sedang,tidak,sedang,jarang
597,sedang,sedang,tidak,sedang,sering
598,rendah,sedang,tidak,sedang,jarang
599,rendah,sedang,iya,rendah,jarang
600,rendah,tinggi,iya,sedang,jarang
601,rendah,rendah,iya,rendah,jarang
602,sedang,sedang,iya,tinggi,jarang
603,rendah,rendah,iya,rendah,jarang
604,rendah,sedang,iya,rendah,jarang
605,rendah,sedang,iya,sedang,sering
606,sedang,rendah,tidak,tinggi,jarang
607,rendah,tinggi,tidak,tinggi,sering
608,sedang,sedang,iya,sedang,sering
609,sedang,tinggi,iya,rendah,sering
610,sedang,tinggi,tidak,tinggi,sering
611,rendah,sedang,iya,sedang,jarang
612,tinggi,rendah,iya,rendah,jarang
613,sedang,sedang,tidak,tinggi,jarang
614,rendah,tinggi,tidak,rendah,jarang
615,tinggi,sedang,tidak,tinggi,sering
616,tinggi,rendah,iya,tinggi,sering
617,rendah,sedang,tidak,sedang,jarang
618,sedang,tinggi,iya,tinggi,jarang
619,tinggi,tinggi,iya,tinggi,jarang
620,tinggi,rendah,iya,rendah,sering
621,rendah,tinggi,tidak,sedang,sering
622,rendah,sedang,iya,rendah,sering
623,sedang,sedang,iya,sedang,sering
624,sedang,tinggi,iya,tinggi,jarang
625,sedang,sedang,iya,sedang,jarang
626,sedang,sedang,tidak,sedang,jarang
627,sedang,rendah,iya,sedang,jarang
628,tinggi,tinggi,iya,tinggi,sering
629,rendah,tinggi,iya,rendah,jarang
630,sedang,sedang,iya,sedang,sering
631,tinggi,tinggi,iya,rendah,jarang
632,tinggi,rendah,tidak,sedang,jarang
633,sedang,sedang,iya,rendah,jarang
634,sedang,sedang,iya,sedang,jarang
