responden_id,gaya_kelekatan,kebutuhan_validasi,kontrol_diri,impulsif,empati_pasangan
106,menghindar,sedang,rendah,iya,tinggi
107,aman,rendah,tinggi,iya,tinggi
108,aman,sedang,tinggi,tidak,tinggi
109,cemas,sedang,rendah,tidak,tinggi
110,aman,rendah,tinggi,tidak,tinggi
111,cemas,sedang,tinggi,iya,tinggi
112,cemas,rendah,rendah,tidak,tinggi
113,menghindar,rendah,tinggi,tidak,tinggi
114,aman,sedang,rendah,iya,tinggi
115,aman,rendah,rendah,tidak,tinggi
116,menghindar,rendah,rendah,tidak,tinggi
117,cemas,sedang,tinggi,tidak,tinggi
118,menghindar,tinggi,tinggi,tidak,tinggi
119,aman,sedang,rendah,iya,tinggi
120,cemas,tinggi,tinggi,tidak,tinggi
121,cemas,tinggi,tinggi,tidak,tinggi
122,aman,tinggi,rendah,tidak,rendah
123,cemas,tinggi,tinggi,tidak,tinggi
124,cemas,sedang,tinggi,tidak,tinggi
125,aman,sedang,tinggi,tidak,rendah
126,aman,rendah,tinggi,tidak,tinggi
127,cemas,sedang,rendah,tidak,tinggi
128,aman,tinggi,tinggi,tidak,tinggi
129,menghindar,sedang,rendah,tidak,tinggi
130,aman,sedang,tinggi,iya,tinggi
131,aman,sedang,tinggi,tidak,tinggi
132,menghindar,sedang,rendah,iya,tinggi
133,menghindar,sedang,tinggi,tidak,tinggi
134,aman,sedang,tinggi,iya,rendah
135,cemas,sedang,tinggi,tidak,rendah
136,aman,sedang,rendah,tidak,tinggi
137,aman,tinggi,tinggi,tidak,tinggi
138,aman,tinggi,tinggi,tidak,tinggi
139,aman,rendah,rendah,iya,tinggi
140,menghindar,tinggi,rendah,tidak,tinggi
141,cemas,sedang,tinggi,tidak,tinggi
142,menghindar,sedang,rendah,iya,rendah
143,cemas,sedang,rendah,tidak,tinggi
144,aman,sedang,tinggi,tidak,tinggi
145,cemas,rendah,tinggi,tidak,tinggi
146,menghindar,sedang,tinggi,tidak,tinggi
147,cemas,sedang,rendah,iya,tinggi
148,cemas,sedang,tinggi,tidak,tinggi
149,menghindar,sedang,tinggi,tidak,tinggi
150,aman,sedang,rendah,tidak,tinggi
151,cemas,sedang,tinggi,tidak,tinggi
152,menghindar,tinggi,tinggi,tidak,rendah
153,menghindar,sedang,tinggi,tidak,rendah
154,aman,rendah,tinggi,tidak,tinggi
155,cemas,sedang,rendah,iya,tinggi
156,cemas,sedang,tinggi,tidak,tinggi
157,aman,sedang,tinggi,tidak,tinggi
158,cemas,rendah,tinggi,tidak,tinggi
159,aman,sedang,tinggi,iya,tinggi
160,aman,tinggi,rendah,tidak,rendah
161,aman,sedang,rendah,iya,tinggi
162,cemas,sedang,rendah,iya,tinggi
163,aman,tinggi,tinggi,iya,tinggi
164,aman,tinggi,rendah,tidak,rendah
165,aman,sedang,tinggi,tidak,tinggi
166,aman,sedang,rendah,tidak,tinggi
167,aman,tinggi,tinggi,iya,tinggi
168,aman,sedang,rendah,iya,tinggi
169,cemas,rendah,tinggi,iya,tinggi
170,cemas,rendah,tinggi,tidak,tinggi
171,aman,sedang,tinggi,tidak,tinggi
172,aman,tinggi,tinggi,tidak,tinggi
173,cemas,rendah,rendah,tidak,rendah
174,aman,rendah,rendah,tidak,tinggi
175,menghindar,tinggi,tinggi,tidak,tinggi
176,cemas,tinggi,tinggi,iya,tinggi
177,aman,rendah,rendah,tidak,tinggi
178,aman,sedang,tinggi,iya,rendah
179,cemas,sedang,tinggi,iya,rendah
180,aman,sedang,rendah,tidak,tinggi
181,aman,tinggi,rendah,tidak,tinggi
182,aman,rendah,tinggi,tidak,tinggi
183,cemas,rendah,rendah,tidak,rendah
184,cemas,rendah,rendah,tidak,tinggi
185,aman,rendah,rendah,tidak,rendah
186,cemas,rendah,rendah,iya,tinggi
187,aman,rendah,tinggi,tidak,rendah
188,cemas,tinggi,rendah,iya,tinggi
189,aman,rendah,rendah,iya,tinggi
190,cemas,tinggi,tinggi,tidak,tinggi
191,menghindar,sedang,rendah,tidak,rendah
192,aman,sedang,rendah,iya,tinggi
193,aman,rendah,tinggi,tidak,tinggi
194,aman,rendah,tinggi,tidak,rendah
195,aman,sedang,tinggi,iya,tinggi
196,aman,sedang,rendah,tidak,tinggi
197,menghindar,tinggi,tinggi,iya,tinggi
198,menghindar,tinggi,tinggi,tidak,rendah
199,aman,sedang,tinggi,tidak,tinggi
200,cemas,sedang,rendah,iya,tinggi
201,cemas,tinggi,rendah,iya,tinggi
202,cemas,sedang,tinggi,tidak,rendah
203,aman,tinggi,tinggi,iya,tinggi
204,aman,tinggi,tinggi,iya,tinggi
205,aman,rendah,rendah,tidak,rendah
206,aman,sedang,rendah,tidak,tinggi
207,cemas,sedang,tinggi,tidak,tinggi
208,cemas,sedang,tinggi,tidak,rendah
209,aman,sedang,rendah,tidak,tinggi
210,aman,tinggi,rendah,tidak,tinggi
211,menghindar,rendah,tinggi,tidak,rendah
212,cemas,rendah,tinggi,iya,rendah
213,menghindar,rendah,tinggi,iya,tinggi
214,aman,sedang,tinggi,tidak,tinggi
215,cemas,sedang,tinggi,iya,rendah
216,cemas,sedang,rendah,tidak,tinggi
217,menghindar,sedang,tinggi,tidak,tinggi
218,aman,rendah,tinggi,tidak,tinggi
219,aman,rendah,tinggi,iya,tinggi
220,aman,sedang,tinggi,iya,tinggi
221,menghindar,sedang,rendah,iya,rendah
222,menghindar,sedang,tinggi,iya,tinggi
223,menghindar,tinggi,tinggi,tidak,tinggi
224,menghindar,tinggi,tinggi,iya,rendah
225,aman,rendah,rendah,tidak,rendah
226,aman,sedang,tinggi,tidak,rendah
227,aman,sedang,tinggi,iya,tinggi
228,aman,tinggi,rendah,iya,rendah
229,menghindar,tinggi,rendah,tidak,tinggi
230,menghindar,rendah,tinggi,tidak,tinggi
231,aman,rendah,tinggi,tidak,rendah
232,cemas,sedang,rendah,tidak,tinggi
233,menghindar,sedang,tinggi,tidak,rendah
234,aman,sedang,tinggi,tidak,rendah
235,aman,rendah,tinggi,tidak,tinggi
236,aman,sedang,rendah,iya,tinggi
237,aman,rendah,tinggi,iya,tinggi
238,cemas,rendah,rendah,tidak,tinggi
239,aman,rendah,rendah,iya,tinggi
240,aman,sedang,rendah,tidak,rendah
241,menghindar,sedang,tinggi,tidak,rendah
242,cemas,sedang,rendah,tidak,tinggi
243,aman,rendah,rendah,tidak,rendah
244,menghindar,rendah,rendah,tidak,tinggi
245,aman,rendah,tinggi,tidak,rendah
246,aman,sedang,tinggi,tidak,tinggi
247,menghindar,rendah,tinggi,tidak,tinggi
248,aman,sedang,rendah,iya,rendah
249,cemas,rendah,rendah,tidak,tinggi
250,aman,rendah,rendah,iya,tinggi
251,aman,rendah,tinggi,tidak,rendah
252,cemas,rendah,rendah,iya,tinggi
253,aman,sedang,rendah,tidak,rendah
254,cemas,sedang,tinggi,iya,rendah
255,cemas,tinggi,rendah,iya,rendah
256,menghindar,rendah,rendah,tidak,tinggi
257,cemas,rendah,rendah,iya,rendah
258,aman,sedang,rendah,tidak,rendah
259,menghindar,tinggi,tinggi,iya,tinggi
260,cemas,sedang,tinggi,tidak,tinggi
261,cemas,sedang,rendah,tidak,tinggi
262,menghindar,sedang,rendah,tidak,rendah
263,cemas,rendah,tinggi,tidak,tinggi
264,aman,tinggi,tinggi,tidak,tinggi
265,cemas,sedang,rendah,iya,tinggi
266,aman,tinggi,tinggi,tidak,rendah
267,aman,sedang,rendah,iya,tinggi
268,cemas,sedang,tinggi,tidak,tinggi
269,aman,rendah,tinggi,tidak,tinggi
270,aman,sedang,tinggi,tidak,rendah
271,aman,rendah,tinggi,iya,rendah
272,cemas,sedang,rendah,tidak,tinggi
273,aman,sedang,tinggi,tidak,tinggi
274,cemas,tinggi,tinggi,tidak,rendah
275,aman,sedang,tinggi,tidak,tinggi
276,aman,sedang,rendah,iya,rendah
277,aman,rendah,tinggi,tidak,tinggi
278,cemas,sedang,tinggi,tidak,tinggi
279,aman,rendah,rendah,tidak,tinggi
280,menghindar,sedang,rendah,tidak,rendah
281,menghindar,tinggi,rendah,tidak,tinggi
282,menghindar,rendah,tinggi,tidak,tinggi
283,menghindar,rendah,tinggi,tidak,tinggi
284,aman,sedang,tinggi,tidak,tinggi
285,cemas,tinggi,rendah,tidak,rendah
286,cemas,sedang,tinggi,tidak,tinggi
287,cemas,rendah,tinggi,tidak,rendah
288,menghindar,tinggi,rendah,tidak,tinggi
289,cemas,tinggi,rendah,tidak,tinggi
290,menghindar,rendah,rendah,tidak,rendah
291,aman,tinggi,tinggi,iya,tinggi
292,menghindar,sedang,rendah,tidak,tinggi
293,cemas,sedang,rendah,tidak,tinggi
294,cemas,sedang,rendah,tidak,tinggi
295,aman,tinggi,tinggi,tidak,rendah
296,cemas,sedang,rendah,iya,tinggi
297,menghindar,rendah,rendah,tidak,tinggi
298,aman,tinggi,tinggi,tidak,tinggi
299,cemas,rendah,tinggi,iya,tinggi
300,aman,sedang,tinggi,iya,rendah
301,menghindar,sedang,tinggi,iya,rendah
302,aman,rendah,tinggi,tidak,tinggi
303,aman,rendah,tinggi,iya,tinggi
304,aman,tinggi,tinggi,tidak,tinggi
305,cemas,sedang,rendah,tidak,tinggi
306,aman,sedang,tinggi,tidak,tinggi
307,cemas,sedang,rendah,tidak,tinggi
308,menghindar,sedang,rendah,tidak,tinggi
309,menghindar,sedang,tinggi,iya,tinggi
310,aman,rendah,tinggi,tidak,tinggi
311,menghindar,sedang,tinggi,iya,tinggi
312,cemas,tinggi,tinggi,tidak,rendah
313,aman,sedang,tinggi,tidak,rendah
314,aman,rendah,tinggi,tidak,rendah
315,aman,tinggi,tinggi,tidak,rendah
316,menghindar,tinggi,tinggi,tidak,rendah
317,aman,rendah,rendah,tidak,tinggi
318,aman,tinggi,rendah,tidak,tinggi
319,cemas,sedang,tinggi,tidak,tinggi
320,cemas,rendah,rendah,iya,tinggi
321,cemas,rendah,rendah,tidak,tinggi
322,cemas,sedang,rendah,tidak,rendah
323,aman,tinggi,rendah,tidak,tinggi
324,menghindar,rendah,tinggi,tidak,tinggi
325,aman,rendah,tinggi,iya,tinggi
326,cemas,sedang,tinggi,iya,rendah
327,cemas,sedang,tinggi,iya,tinggi
328,aman,rendah,tinggi,tidak,tinggi
329,menghindar,rendah,tinggi,iya,rendah
330,aman,sedang,tinggi,tidak,tinggi
331,aman,tinggi,tinggi,tidak,rendah
332,menghindar,sedang,rendah,tidak,tinggi
333,cemas,sedang,rendah,iya,tinggi
334,cemas,sedang,tinggi,tidak,tinggi
335,cemas,sedang,tinggi,tidak,rendah
336,menghindar,tinggi,tinggi,iya,rendah
337,aman,tinggi,tinggi,tidak,tinggi
338,aman,rendah,rendah,tidak,rendah
339,aman,sedang,rendah,tidak,tinggi
340,aman,sedang,tinggi,tidak,tinggi
341,cemas,sedang,rendah,iya,tinggi
342,aman,sedang,tinggi,tidak,rendah
343,aman,tinggi,tinggi,iya,tinggi
344,aman,tinggi,tinggi,tidak,tinggi
345,cemas,sedang,rendah,iya,tinggi
346,menghindar,tinggi,tinggi,tidak,tinggi
347,aman,tinggi,tinggi,iya,tinggi
348,cemas,tinggi,tinggi,tidak,rendah
349,aman,tinggi,tinggi,iya,rendah
350,cemas,rendah,tinggi,tidak,tinggi
351,aman,rendah,rendah,tidak,rendah
352,aman,tinggi,tinggi,tidak,tinggi
353,cemas,tinggi,tinggi,iya,tinggi
354,menghindar,tinggi,rendah,tidak,tinggi
355,aman,rendah,rendah,tidak,rendah
356,cemas,sedang,rendah,iya,tinggi
357,cemas,rendah,tinggi,iya,tinggi
358,menghindar,sedang,tinggi,tidak,rendah
359,aman,rendah,rendah,tidak,rendah
360,aman,rendah,tinggi,tidak,tinggi
361,menghindar,rendah,tinggi,iya,tinggi
362,aman,sedang,rendah,iya,rendah
363,aman,sedang,rendah,iya,rendah
364,aman,rendah,rendah,tidak,rendah
365,menghindar,sedang,tinggi,tidak,tinggi
366,aman,rendah,rendah,tidak,tinggi
367,menghindar,tinggi,tinggi,tidak,tinggi
368,aman,sedang,tinggi,iya,tinggi
369,aman,sedang,tinggi,tidak,tinggi
370,aman,tinggi,rendah,tidak,tinggi
371,aman,sedang,tinggi,iya,rendah
372,cemas,sedang,tinggi,tidak,tinggi
373,cemas,sedang,rendah,tidak,rendah
374,aman,tinggi,rendah,iya,tinggi
375,aman,rendah,tinggi,iya,rendah
376,cemas,tinggi,tinggi,iya,rendah
377,menghindar,tinggi,rendah,tidak,rendah
378,cemas,sedang,tinggi,tidak,tinggi
379,menghindar,sedang,tinggi,tidak,tinggi
380,aman,sedang,tinggi,iya,tinggi
381,menghindar,rendah,rendah,tidak,tinggi
382,aman,rendah,tinggi,iya,tinggi
383,aman,tinggi,rendah,tidak,tinggi
384,menghindar,sedang,tinggi,tidak,rendah
385,menghindar,sedang,tinggi,iya,tinggi
386,cemas,tinggi,rendah,iya,rendah
387,aman,sedang,tinggi,tidak,tinggi
388,aman,rendah,rendah,iya,tinggi
389,aman,sedang,tinggi,iya,tinggi
390,menghindar,sedang,rendah,iya,rendah
391,aman,rendah,tinggi,iya,tinggi
392,menghindar,tinggi,rendah,iya,tinggi
393,aman,rendah,tinggi,iya,tinggi
394,menghindar,sedang,tinggi,tidak,tinggi
395,menghindar,rendah,tinggi,tidak,tinggi
396,aman,sedang,rendah,tidak,tinggi
397,aman,sedang,tinggi,tidak,rendah
398,menghindar,sedang,rendah,tidak,tinggi
399,cemas,tinggi,tinggi,tidak,tinggi
400,cemas,rendah,tinggi,iya,tinggi
401,cemas,tinggi,tinggi,iya,tinggi
402,aman,sedang,tinggi,tidak,tinggi
403,menghindar,tinggi,rendah,tidak,tinggi
404,aman,sedang,tinggi,iya,rendah
405,menghindar,rendah,rendah,iya,tinggi
406,aman,rendah,tinggi,iya,tinggi
407,cemas,tinggi,tinggi,iya,tinggi
408,aman,tinggi,tinggi,iya,rendah
409,aman,sedang,tinggi,tidak,rendah
410,aman,sedang,rendah,tidak,tinggi
411,cemas,sedang,tinggi,iya,tinggi
412,cemas,tinggi,rendah,tidak,rendah
413,menghindar,tinggi,tinggi,iya,tinggi
414,aman,tinggi,tinggi,tidak,tinggi
415,cemas,tinggi,rendah,iya,tinggi
416,cemas,tinggi,rendah,tidak,rendah
417,aman,rendah,rendah,tidak,tinggi
418,aman,tinggi,tinggi,tidak,tinggi
419,aman,sedang,rendah,iya,tinggi
420,aman,tinggi,tinggi,tidak,tinggi
421,aman,sedang,tinggi,iya,rendah
422,cemas,rendah,rendah,iya,tinggi
423,aman,sedang,tinggi,iya,tinggi
424,cemas,sedang,tinggi,iya,tinggi
425,menghindar,rendah,rendah,tidak,tinggi
426,cemas,sedang,tinggi,tidak,rendah
427,cemas,sedang,rendah,tidak,tinggi
428,aman,sedang,rendah,iya,tinggi
429,menghindar,sedang,tinggi,iya,tinggi
430,aman,rendah,tinggi,tidak,rendah
431,cemas,tinggi,tinggi,tidak,rendah
432,menghindar,tinggi,tinggi,tidak,tinggi
433,cemas,rendah,tinggi,tidak,rendah
434,cemas,tinggi,rendah,tidak,tinggi
435,aman,sedang,rendah,tidak,rendah
436,aman,rendah,rendah,tidak,tinggi
437,cemas,sedang,tinggi,tidak,tinggi
438,aman,sedang,tinggi,tidak,tinggi
439,cemas,sedang,rendah,tidak,tinggi
440,aman,tinggi,rendah,tidak,tinggi
441,menghindar,sedang,tinggi,tidak,tinggi
442,aman,rendah,rendah,tidak,tinggi
443,cemas,tinggi,tinggi,tidak,tinggi
444,cemas,rendah,tinggi,tidak,tinggi
445,aman,sedang,tinggi,tidak,tinggi
446,aman,rendah,rendah,iya,tinggi
447,aman,sedang,tinggi,tidak,tinggi
448,aman,sedang,rendah,tidak,rendah
449,aman,rendah,tinggi,tidak,rendah
450,aman,sedang,rendah,tidak,rendah
451,cemas,rendah,tinggi,iya,rendah
452,aman,sedang,tinggi,tidak,tinggi
453,menghindar,sedang,rendah,tidak,tinggi
454,cemas,rendah,tinggi,tidak,tinggi
455,aman,tinggi,tinggi,tidak,rendah
456,aman,rendah,rendah,tidak,tinggi
457,menghindar,rendah,rendah,tidak,tinggi
458,aman,sedang,tinggi,tidak,tinggi
459,cemas,sedang,tinggi,tidak,tinggi
460,cemas,sedang,tinggi,iya,tinggi
461,aman,rendah,tinggi,iya,tinggi
462,menghindar,tinggi,tinggi,tidak,rendah
463,aman,sedang,tinggi,tidak,tinggi
464,aman,rendah,tinggi,tidak,tinggi
465,menghindar,sedang,rendah,tidak,tinggi
466,cemas,tinggi,tinggi,iya,rendah
467,menghindar,sedang,rendah,tidak,rendah
468,cemas,rendah,rendah,tidak,tinggi
469,cemas,sedang,tinggi,tidak,tinggi
470,menghindar,rendah,tinggi,iya,tinggi
471,aman,sedang,rendah,tidak,tinggi
472,cemas,tinggi,rendah,iya,tinggi
473,cemas,sedang,tinggi,iya,rendah
474,aman,sedang,tinggi,tidak,tinggi
475,cemas,tinggi,tinggi,iya,rendah
476,aman,sedang,tinggi,tidak,tinggi
477,cemas,sedang,rendah,iya,tinggi
478,cemas,rendah,rendah,iya,rendah
479,menghindar,sedang,rendah,tidak,tinggi
480,aman,sedang,rendah,tidak,tinggi
481,cemas,sedang,tinggi,iya,rendah
482,aman,tinggi,rendah,tidak,rendah
483,cemas,tinggi,rendah,tidak,tinggi
484,cemas,sedang,tinggi,tidak,tinggi
485,cemas,sedang,tinggi,iya,tinggi
486,menghindar,sedang,tinggi,iya,tinggi
487,menghindar,rendah,tinggi,tidak,tinggi
488,aman,sedang,rendah,iya,tinggi
489,aman,tinggi,tinggi,tidak,tinggi
490,cemas,sedang,rendah,iya,tinggi
491,aman,tinggi,tinggi,tidak,tinggi
492,aman,rendah,tinggi,tidak,tinggi
493,cemas,sedang,tinggi,tidak,rendah
494,aman,sedang,tinggi,tidak,rendah
495,aman,sedang,tinggi,tidak,rendah
496,menghindar,tinggi,tinggi,iya,tinggi
497,aman,tinggi,rendah,tidak,tinggi
498,aman,rendah,tinggi,iya,tinggi
499,aman,rendah,rendah,tidak,tinggi
500,menghindar,rendah,tinggi,iya,tinggi
501,menghindar,sedang,rendah,tidak,tinggi
502,cemas,sedang,rendah,iya,rendah
503,aman,sedang,tinggi,iya,tinggi
504,menghindar,sedang,rendah,iya,tinggi
505,cemas,sedang,tinggi,iya,rendah
506,menghindar,tinggi,rendah,tidak,tinggi
507,cemas,sedang,tinggi,tidak,tinggi
508,aman,sedang,tinggi,iya,rendah
509,aman,rendah,tinggi,iya,tinggi
510,aman,sedang,rendah,tidak,tinggi
511,aman,sedang,rendah,tidak,tinggi
512,cemas,sedang,tinggi,iya,tinggi
513,menghindar,tinggi,rendah,tidak,tinggi
514,cemas,tinggi,rendah,tidak,tinggi
515,aman,tinggi,tinggi,tidak,rendah
516,aman,sedang,tinggi,tidak,tinggi
517,aman,sedang,rendah,tidak,rendah
518,aman,sedang,rendah,iya,tinggi
519,aman,rendah,rendah,iya,rendah
520,cemas,sedang,tinggi,iya,tinggi
521,aman,rendah,rendah,iya,tinggi
522,menghindar,sedang,tinggi,tidak,tinggi
523,aman,sedang,rendah,iya,rendah
524,menghindar,tinggi,rendah,iya,tinggi
525,cemas,sedang,tinggi,iya,rendah
526,aman,tinggi,rendah,iya,tinggi
527,cemas,rendah,tinggi,tidak,tinggi
528,cemas,rendah,tinggi,tidak,tinggi
529,cemas,sedang,rendah,tidak,tinggi
530,cemas,sedang,tinggi,iya,tinggi
531,aman,rendah,rendah,tidak,rendah
532,cemas,rendah,rendah,iya,tinggi
533,menghindar,sedang,rendah,tidak,tinggi
534,aman,sedang,tinggi,iya,tinggi
535,aman,sedang,rendah,tidak,tinggi
536,menghindar,sedang,tinggi,tidak,rendah
537,aman,rendah,tinggi,tidak,tinggi
538,cemas,tinggi,rendah,tidak,tinggi
539,cemas,rendah,tinggi,tidak,tinggi
540,cemas,sedang,tinggi,iya,tinggi
541,aman,tinggi,tinggi,tidak,tinggi
542,aman,tinggi,tinggi,iya,tinggi
543,aman,sedang,tinggi,tidak,tinggi
544,cemas,sedang,rendah,iya,tinggi
545,cemas,sedang,tinggi,tidak,rendah
546,cemas,sedang,tinggi,iya,tinggi
547,cemas,sedang,tinggi,tidak,tinggi
548,aman,sedang,tinggi,iya,tinggi
549,aman,tinggi,tinggi,iya,tinggi
550,menghindar,rendah,tinggi,tidak,tinggi
551,aman,tinggi,tinggi,tidak,tinggi
552,aman,tinggi,rendah,iya,rendah
553,aman,sedang,tinggi,tidak,tinggi
554,aman,sedang,rendah,tidak,rendah
555,aman,sedang,tinggi,tidak,tinggi
556,menghindar,tinggi,rendah,tidak,rendah
557,menghindar,rendah,rendah,tidak,tinggi
558,menghindar,sedang,rendah,tidak,tinggi
559,menghindar,sedang,tinggi,iya,tinggi
560,menghindar,tinggi,rendah,tidak,tinggi
561,cemas,tinggi,tinggi,tidak,rendah
562,aman,sedang,rendah,iya,rendah
563,cemas,rendah,tinggi,tidak,tinggi
564,aman,sedang,rendah,iya,tinggi
565,aman,rendah,rendah,iya,tinggi
566,aman,tinggi,tinggi,tidak,rendah
567,cemas,sedang,tinggi,tidak,tinggi
568,aman,tinggi,rendah,iya,tinggi
569,aman,sedang,tinggi,iya,tinggi
570,aman,sedang,tinggi,tidak,tinggi
571,menghindar,rendah,rendah,tidak,tinggi
572,cemas,sedang,rendah,tidak,rendah
573,menghindar,rendah,tinggi,tidak,rendah
574,aman,sedang,rendah,tidak,tinggi
575,aman,rendah,tinggi,tidak,tinggi
576,cemas,sedang,tinggi,iya,rendah
577,aman,sedang,tinggi,tidak,tinggi
578,cemas,sedang,tinggi,iya,tinggi
579,cemas,rendah,tinggi,tidak,tinggi
580,cemas,sedang,rendah,tidak,rendah
581,menghindar,sedang,tinggi,tidak,tinggi
582,aman,sedang,tinggi,tidak,tinggi
583,aman,rendah,rendah,tidak,rendah
584,cemas,tinggi,tinggi,iya,tinggi
585,aman,tinggi,rendah,tidak,tinggi
586,aman,rendah,rendah,iya,tinggi
587,aman,sedang,tinggi,tidak,tinggi
588,aman,sedang,tinggi,tidak,tinggi
589,aman,sedang,tinggi,tidak,tinggi
590,aman,rendah,rendah,iya,tinggi
591,cemas,rendah,tinggi,tidak,tinggi
592,cemas,rendah,rendah,tidak,rendah
593,cemas,sedang,tinggi,iya,tinggi
594,cemas,tinggi,tinggi,iya,tinggi
595,aman,sedang,tinggi,tidak,tinggi
596,aman,tinggi,tinggi,iya,tinggi
597,aman,rendah,tinggi,tidak,rendah
598,menghindar,rendah,tinggi,iya,tinggi
599,cemas,sedang,tinggi,tidak,tinggi
600,aman,rendah,tinggi,tidak,tinggi
601,aman,sedang,tinggi,tidak,rendah
602,menghindar,sedang,tinggi,tidak,rendah
603,cemas,rendah,tinggi,tidak,rendah
604,menghindar,sedang,rendah,iya,tinggi
605,aman,sedang,rendah,iya,tinggi
606,aman,sedang,tinggi,tidak,rendah
